,GAME_ID,EVENTNUM,EVENTMSGTYPE,EVENTMSGACTIONTYPE,PERIOD,WCTIMESTRING,PCTIMESTRING,HOMEDESCRIPTION,NEUTRALDESCRIPTION,VISITORDESCRIPTION,SCORE,SCOREMARGIN,PERSON1TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ID,PLAYER1_TEAM_CITY,PLAYER1_TEAM_NICKNAME,PLAYER1_TEAM_ABBREVIATION,PERSON2TYPE,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ID,PLAYER2_TEAM_CITY,PLAYER2_TEAM_NICKNAME,PLAYER2_TEAM_ABBREVIATION,PERSON3TYPE,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ID,PLAYER3_TEAM_CITY,PLAYER3_TEAM_NICKNAME,PLAYER3_TEAM_ABBREVIATION
4,0021800005,11,1,101,1,7:15 PM,11:19,Bogdanovic 8' Driving Floating Jump Shot (2 PTS),,,0 - 2,2,4.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,
18,0021800005,29,1,80,1,7:18 PM,9:35,Bogdanovic 18' Step Back Jump Shot (4 PTS) (Collison 1 AST),,,2 - 4,2,4.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,4,201954,Darren Collison,1610612754.0,Indiana,Pacers,IND,0,0,,,,,
158,0021800005,235,1,1,2,7:54 PM,7:17,Bogdanovic 24' 3PT Jump Shot (11 PTS) (Evans 3 AST),,,18 - 39,21,4.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,4,201936,Tyreke Evans,1610612754.0,Indiana,Pacers,IND,0,0,,,,,
234,0021800005,352,1,79,3,8:29 PM,10:04,Bogdanovic 25' 3PT Pullup Jump Shot (16 PTS),,,44 - 64,20,4.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,
288,0021800005,426,2,1,3,8:43 PM,4:17,MISS Bogdanovic 14' Jump Shot,,,,,4.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,
296,0021800005,438,2,78,3,8:45 PM,3:48,MISS Bogdanovic 16' Floating Jump Shot,,,,,4.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,
398,0021800005,591,1,1,4,9:12 PM,5:27,Bogdanovic 24' 3PT Jump Shot (19 PTS) (Oladipo 5 AST),,,64 - 96,32,4.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,4,203506,Victor Oladipo,1610612754.0,Indiana,Pacers,IND,0,0,,,,,
39,0021800023,56,2,79,1,8:56 PM,7:12,,,MISS Bogdanovic 11' Pullup Jump Shot,,,5.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,
84,0021800023,122,2,1,1,9:03 PM,2:07,,,MISS Bogdanovic 16' Jump Shot,,,5.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,
205,0021800023,292,2,1,2,9:29 PM,3:03,,,MISS Bogdanovic 26' 3PT Jump Shot,,,5.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,
