TEAM_ABRV,RANGE,FGM_range,FGA_range,FG_PERCENTAGE,PPS_range,PTS_range,FGM_total,FGA_total,PTS_total,EFG,PPS_total,shotRangeRatio
ATL,3PT,355,1082,0.32809611829944546,0.9842883548983364,1065,1228,2746,2812,0.5120174799708667,1.0240349599417333,0.39402767662053895
ATL,LMR,88,212,0.41509433962264153,0.8349056603773585,177,1228,2746,2812,0.5120174799708667,1.0240349599417333,0.07720320466132556
ATL,RIM,669,1124,0.5951957295373665,1.190391459074733,1338,1228,2746,2812,0.5120174799708667,1.0240349599417333,0.4093226511289148
ATL,SMR,116,328,0.35365853658536583,0.7073170731707318,232,1228,2746,2812,0.5120174799708667,1.0240349599417333,0.11944646758922069
BKN,3PT,413,1144,0.361013986013986,1.0830419580419581,1239,1344,2975,3102,0.521344537815126,1.042689075630252,0.3845378151260504
BKN,LMR,86,231,0.3722943722943723,0.7489177489177489,173,1344,2975,3102,0.521344537815126,1.042689075630252,0.07764705882352942
BKN,RIM,663,1129,0.587245349867139,1.174490699734278,1326,1344,2975,3102,0.521344537815126,1.042689075630252,0.3794957983193277
BKN,SMR,182,471,0.386411889596603,0.7728237791932059,364,1344,2975,3102,0.521344537815126,1.042689075630252,0.15831932773109245
BOS,3PT,408,1128,0.3617021276595745,1.0851063829787233,1224,1267,2806,2942,0.5242337847469708,1.0484675694939416,0.40199572344975054
BOS,LMR,165,414,0.39855072463768115,0.7971014492753623,330,1267,2806,2942,0.5242337847469708,1.0484675694939416,0.14754098360655737
BOS,RIM,512,834,0.6139088729016786,1.2278177458033572,1024,1267,2806,2942,0.5242337847469708,1.0484675694939416,0.2972202423378475
BOS,SMR,182,430,0.4232558139534884,0.8465116279069768,364,1267,2806,2942,0.5242337847469708,1.0484675694939416,0.15324305060584462
CHA,3PT,368,1026,0.3586744639376218,1.0760233918128654,1104,1275,2801,2918,0.5208853980721171,1.0417707961442342,0.3662977508032845
CHA,LMR,139,320,0.434375,0.86875,278,1275,2801,2918,0.5208853980721171,1.0417707961442342,0.11424491253123885
CHA,RIM,585,1010,0.5792079207920792,1.1584158415841583,1170,1275,2801,2918,0.5208853980721171,1.0417707961442342,0.3605855051767226
CHA,SMR,183,445,0.41123595505617977,0.8224719101123596,366,1275,2801,2918,0.5208853980721171,1.0417707961442342,0.15887183148875403
CHI,3PT,308,911,0.3380900109769484,1.0142700329308452,924,1245,2820,2799,0.49627659574468086,0.9925531914893617,0.3230496453900709
CHI,LMR,163,434,0.37557603686635943,0.7534562211981567,327,1245,2820,2799,0.49627659574468086,0.9925531914893617,0.15390070921985816
CHI,RIM,581,995,0.5839195979899497,1.1678391959798997,1162,1245,2820,2799,0.49627659574468086,0.9925531914893617,0.3528368794326241
CHI,SMR,193,480,0.40208333333333335,0.8041666666666667,386,1245,2820,2799,0.49627659574468086,0.9925531914893617,0.1702127659574468
CLE,3PT,293,827,0.3542926239419589,1.0628778718258767,879,1282,2871,2857,0.49756182514803204,0.9951236502960641,0.288052943225357
CLE,LMR,238,575,0.41391304347826086,0.8278260869565218,476,1282,2871,2857,0.49756182514803204,0.9951236502960641,0.20027864855451064
CLE,RIM,548,980,0.5591836734693878,1.1183673469387756,1096,1282,2871,2857,0.49756182514803204,0.9951236502960641,0.34134447927551376
CLE,SMR,203,489,0.41513292433537835,0.8302658486707567,406,1282,2871,2857,0.49756182514803204,0.9951236502960641,0.1703239289446186
DAL,3PT,360,1032,0.3488372093023256,1.0465116279069768,1080,1207,2641,2774,0.5251798561151079,1.0503597122302157,0.3907610753502461
DAL,LMR,80,205,0.3902439024390244,0.7804878048780488,160,1207,2641,2774,0.5251798561151079,1.0503597122302157,0.07762211283604695
DAL,RIM,590,936,0.6303418803418803,1.2606837606837609,1180,1207,2641,2774,0.5251798561151079,1.0503597122302157,0.3544112078758046
