Player,Team,Type
"Acy, Quincy",BKN,UFA
"Afflalo, Arron",ORL,UFA
"Anderson, Kyle",SAS,RFA
"Anthony, Carmelo",OKC,UFA***
"Arcidiacono, Ryan",CHI,RFA^
"Ariza, Trevor",HOU,UFA
"Arthur, Darrell",DEN,UFA*
"Artis, Jamel",ORL,RFA^
"Babbitt, Luke",MIA,UFA
"Baker, Ron",NYK,RFA*
"Barton, Will",DEN,UFA
"Baynes, Aron",BOS,UFA
"Beasley, Michael",NYK,UFA
"Belinelli, Marco",PHI,UFA
"Bertans, Davis",SAS,RFA
"Bird, Jabari",BOS,RFA^
"Bjelica, Nemanja",MIN,RFA
"Black, Tarik",HOU,UFA
"Booker, Trevor",IND,UFA
"Bradley, Avery",LAC,UFA
"Brewer, Corey",OKC,UFA
"Brooks, Aaron",MIN,UFA
"Brown, Anthony",MIN,RFA^
"Brown, Lorenzo",TOR,UFA
"Brown, Markel",HOU,RFA^
"Caboclo, Bruno",SAC,RFA
"Calderon, Jose",CLE,UFA
"Caldwell-Pope, Kentavious",LAL,UFA
"Capela, Clint",HOU,RFA
"Carter-Williams, Michael",CHA,UFA
"Carter, Vince",SAC,UFA
"Casspi, Omri",GSW,UFA
"Cavanaugh, Tyler",ATL,UFA
"Chalmers, Mario",MEM,UFA
"Chandler, Wilson",DEN,UFA*
"Clark, Ian",NOP,UFA
"Collison, Nick",OKC,UFA
"Connaughton, Pat",POR,RFA
"Cooke, Charles",NOP,RFA^
"Cooley, Jack",SAC,RFA^
"Costello, Matt",SAS,RFA^
"Cousins, DeMarcus",NOP,UFA
"Craig, Torrey",DEN,RFA^
"Crawford, Jamal",MIN,UFA*
"Crawford, Jordan",NOP,UFA
"Cunningham, Dante",BKN,UFA
"Curry, Seth",DAL,UFA
"Davis, Ed",POR,UFA
"Dedmon, Dewayne",ATL,UFA*
"Delaney, Malcolm",ATL,RFA
"Doyle, Milton",BKN,RFA^
"Dozier, PJ",OKC,RFA^
"Durant, Kevin",GSW,UFA*
"Ellington, Wayne",MIA,UFA
"Ennis III, James",DET,UFA
"Evans, Tyreke",MEM,UFA
"Exum, Dante",UTA,RFA
"Favors, Derrick",UTA,UFA
"Felder, Kay",DET,RFA^
"Felton, Raymond",OKC,UFA
"Ferrell, Yogi",DAL,RFA
"Forbes, Bryn",SAS,RFA
"Frazier, Tim",WAS,UFA
"Frye, Channing",LAL,UFA
"Gay, Rudy",SAS,UFA*
"George, Paul",OKC,UFA*
"Georges-Hunt, Marcus",MIN,RFA
"Gibson, Jonathan",BOS,RFA
"Gordon, Aaron",ORL,RFA
"Graham, Treveon",CHA,RFA
"Grant, Jerami",OKC,UFA
"Green, Danny",SAS,UFA*
"Green, Gerald",HOU,UFA
"Green, Jeff",CLE,UFA
"Hamilton, Daniel",OKC,RFA^
"Harrell, Montrezl",LAC,RFA
"Harris, Devin",DEN,UFA
"Harris, Joe",BKN,UFA
"Harrison, Aaron",DAL,RFA
"Haslem, Udonis",MIA,UFA
"Hezonja, Mario",ORL,UFA
"Hicks, Isaiah",NYK,RFA^
"Hilliard, Darrun",SAS,RFA^
"Holmes, Richaun",PHI,RFA**
"Hood, Rodney",CLE,RFA
"House, Danuel",PHX,RFA^
"Huestis, Josh",OKC,UFA
"Ilyasova, Ersan",PHI,UFA
"Ingram, Andre",LAL,RFA
"Jack, Jarrett",NYK,UFA
"Jackson, Aaron",HOU,RFA**
"Jackson, Demetrius",PHI,RFA^
"James, LeBron",CLE,UFA*
"Jefferson, Amile",MIN,RFA
"Jefferson, Richard",DEN,UFA
"Johnson, Amir",PHI,UFA
"Johnson, Joe",HOU,UFA
"Johnson, Wesley",LAC,UFA*
"Jokic, Nikola",DEN,RFA**
"Jones Jr., Derrick",MIA,RFA^
"Jordan, DeAndre",LAC,UFA*
