,GROUP_SET,GROUP_VALUE,GP,W,L,W_PCT,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,PACE,PIE,FGM,FGA,FGM_PG,FGA_PG,FG_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,USG_PCT_RANK,PACE_RANK,PIE_RANK,FGM_RANK,FGA_RANK,FGM_PG_RANK,FGA_PG_RANK,FG_PCT_RANK,CFID,CFPARAMS,PID
0,Overall,2017-18,75,42,33,0.56,15.1,106.5,106.3,0.3,0.036,1.12,7.7,0.024,0.092,0.056,6.9,0.54,0.567,0.129,98.51,0.048,115,291,1.5,3.9,0.395,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,2017-18,203518
1,Overall,2017-18,70,26,44,0.371,19.4,105.2,108.1,-2.9,0.061,0.95,11.2,0.032,0.172,0.102,11.8,0.496,0.525,0.146,100.03,0.057,130,365,1.9,5.2,0.356,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,2017-18,203112
2,Overall,2017-18,76,43,33,0.566,32.7,109.8,104.8,5.0,0.051,0.69,8.4,0.162,0.138,0.15,12.1,0.629,0.63,0.162,100.33,0.109,448,712,5.9,9.4,0.629,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,2017-18,203500
3,Overall,2017-18,69,34,35,0.493,19.8,102.1,102.1,0.0,0.115,1.53,17.2,0.098,0.22,0.159,11.3,0.512,0.57,0.162,96.4,0.111,174,340,2.5,4.9,0.512,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,2017-18,1628389
4,Overall,2017-18,53,16,37,0.302,12.9,100.9,106.4,-5.5,0.066,1.43,13.4,0.007,0.096,0.053,9.4,0.485,0.516,0.13,98.31,0.042,65,162,1.2,3.1,0.401,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,2017-18,201167
5,Overall,2017-18,21,14,7,0.667,2.3,111.4,113.0,-1.6,0.081,3.0,13.9,0.061,0.316,0.172,4.6,0.333,0.34,0.161,98.43,0.028,5,15,0.2,0.7,0.333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,2017-18,202332
6,Overall,2017-18,75,45,30,0.6,33.4,107.8,102.1,5.7,0.111,1.37,8.5,0.108,0.174,0.141,6.2,0.52,0.57,0.294,95.64,0.159,687,1347,9.2,18.0,0.51,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,2017-18,200746
7,Overall,2017-18,72,25,47,0.347,20.0,104.0,107.6,-3.6,0.055,0.6,8.3,0.107,0.178,0.142,13.8,0.596,0.636,0.165,100.27,0.108,234,397,3.3,5.5,0.589,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,2017-18,1628386
8,Overall,2017-18,18,9,9,0.5,6.0,95.2,102.5,-7.3,0.167,1.33,25.6,0.038,0.074,0.055,19.2,0.273,0.366,0.141,98.26,0.006,6,22,0.3,1.2,0.273,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,2017-18,1628443
9,Overall,2017-18,22,12,10,0.545,12.4,105.2,103.7,1.6,0.051,0.47,7.0,0.085,0.103,0.094,14.8,0.505,0.514,0.191,102.96,0.036,44,91,2.0,4.1,0.484,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,2017-18,2754
10,Overall,2017-18,69,40,29,0.58,30.0,107.9,103.5,4.4,0.056,1.06,10.8,0.05,0.222,0.136,10.1,0.503,0.522,0.146,99.67,0.09,230,582,3.3,8.4,0.395,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,2017-18,202329
11,Overall,2017-18,38,27,11,0.711,13.7,100.2,105.7,-5.5,0.078,1.56,9.6,0.053,0.137,0.096,6.2,0.515,0.54,0.198,100.7,0.087,87,202,2.3,5.3,0.431,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,2017-18,1626147
12,Overall,2017-18,74,41,33,0.554,26.7,106.0,101.4,4.6,0.146,2.15,25.3,0.047,0.177,0.111,11.8,0.549,0.582,0.136,96.74,0.111,231,438,3.1,5.9,0.527,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,2017-18,203937
13,Overall,2017-18,66,52,14,0.788,26.1,112.6,106.5,6.1,0.05,1.43,9.6,0.061,0.156,0.108,6.7,0.568,0.592,0.143,100.22,0.077,207,480,3.1,7.3,0.431,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,2017-18,201583
14,Overall,2017-18,11,5,6,0.455,2.7,110.8,134.1,-23.3,0.0,0.0,0.0,0.161,0.143,0.153,14.7,0.444,0.558,0.189,98.71,0.109,4,9,0.4,0.8,0.444,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,2017-18,1628387
15,Overall,2017-18,75,39,36,0.52,36.7,108.8,105.4,3.5,0.237,1.62,15.9,0.067,0.249,0.159,9.8,0.545,0.598,0.312,98.38,0.186,742,1402,9.9,18.7,0.529,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,2017-18,203507
16,Overall,2017-18,78,46,32,0.59,32.1,109.7,105.7,4.0,0.061,1.04,7.1,0.028,0.178,0.1,6.8,0.476,0.503,0.226,100.32,0.086,472,1168,6.1,15.0,0.404,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,2017-18,2546
17,Overall,2017-18,74,51,23,0.689,20.0,112.4,102.2,10.2,0.049,1.22,11.6,0.035,0.1,0.069,9.5,0.577,0.587,0.124,100.23,0.056,163,346,2.2,4.7,0.471,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,2017-18,1628384
18,Overall,2017-18,24,6,18,0.25,12.7,99.0,103.8,-4.8,0.161,2.69,38.2,0.003,0.085,0.043,14.2,0.524,0.55,0.081,100.1,0.057,17,41,0.7,1.7,0.415,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,2017-18,1627853
19,Overall,2017-18,67,51,16,0.761,33.9,112.1,104.3,7.8,0.066,2.02,12.4,0.016,0.13,0.073,6.1,0.542,0.567,0.143,100.42,0.077,268,651,4.0,9.7,0.412,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,2017-18,2772
20,Overall,2017-18,19,12,7,0.632,7.4,100.6,112.8,-12.2,0.101,0.6,12.4,0.025,0.097,0.061,20.7,0.553,0.559,0.199,102.46,0.039,22,47,1.2,2.5,0.468,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,2017-18,201589
21,Overall,2017-18,15,4,11,0.267,18.6,101.3,105.1,-3.9,0.098,2.25,16.3,0.015,0.135,0.073,7.3,0.443,0.457,0.145,97.88,0.062,31,79,2.1,5.3,0.392,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,2017-18,1628503
22,Overall,2017-18,18,7,11,0.389,10.1,105.5,112.1,-6.6,0.02,0.33,7.6,0.059,0.239,0.151,22.7,0.409,0.397,0.091,99.81,0.027,9,22,0.5,1.2,0.409,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,2017-18,201600
23,Overall,2017-18,75,23,52,0.307,23.5,101.5,105.5,-4.0,0.251,2.33,27.8,0.018,0.082,0.05,11.9,0.557,0.615,0.186,100.51,0.107,244,540,3.3,7.2,0.452,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,2017-18,201571
