,PLAYER_ID,PLAYER_NAME_LAST_FIRST,SORT_ORDER,GP,G,CLOSE_DEF_DIST_RANGE,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
0,203518,"Abrines, Alex",1,73,8,0-2 Feet - Very Tight,0.04,0.05,0.15,0.364,0.364,0.04,0.05,0.15,0.364,0.0,0.0,0.0,
1,203518,"Abrines, Alex",2,73,32,2-4 Feet - Tight,0.154,0.22,0.58,0.381,0.381,0.099,0.22,0.37,0.593,0.055,0.0,0.21,0.0
2,203518,"Abrines, Alex",3,73,50,4-6 Feet - Open,0.36,0.6,1.34,0.449,0.648,0.04,0.07,0.15,0.455,0.32,0.53,1.19,0.448
3,203518,"Abrines, Alex",4,73,48,6+ Feet - Wide Open,0.445,0.67,1.66,0.405,0.587,0.037,0.07,0.14,0.5,0.408,0.6,1.52,0.396
0,203112,"Acy, Quincy",1,68,9,0-2 Feet - Very Tight,0.026,0.06,0.13,0.444,0.444,0.026,0.06,0.13,0.444,0.0,0.0,0.0,
1,203112,"Acy, Quincy",2,68,34,2-4 Feet - Tight,0.124,0.24,0.62,0.381,0.405,0.085,0.21,0.43,0.483,0.038,0.03,0.19,0.154
2,203112,"Acy, Quincy",3,68,53,4-6 Feet - Open,0.291,0.46,1.46,0.313,0.439,0.047,0.09,0.24,0.375,0.244,0.37,1.22,0.301
3,203112,"Acy, Quincy",4,68,60,6+ Feet - Wide Open,0.559,1.12,2.79,0.4,0.589,0.024,0.06,0.12,0.5,0.535,1.06,2.68,0.396
0,203500,"Adams, Steven",1,75,65,0-2 Feet - Very Tight,0.229,1.33,1.99,0.671,0.671,0.229,1.33,1.99,0.671,0.0,0.0,0.0,
1,203500,"Adams, Steven",2,75,75,2-4 Feet - Tight,0.567,3.25,4.92,0.661,0.661,0.567,3.25,4.92,0.661,0.0,0.0,0.0,
2,203500,"Adams, Steven",3,75,60,4-6 Feet - Open,0.166,1.03,1.44,0.713,0.713,0.164,1.03,1.43,0.72,0.002,0.0,0.01,0.0
3,203500,"Adams, Steven",4,75,22,6+ Feet - Wide Open,0.038,0.28,0.33,0.84,0.84,0.037,0.28,0.32,0.875,0.002,0.0,0.01,0.0
0,1628389,"Adebayo, Bam",1,68,45,0-2 Feet - Very Tight,0.272,0.65,1.24,0.524,0.524,0.272,0.65,1.24,0.524,0.0,0.0,0.0,
1,1628389,"Adebayo, Bam",2,68,58,2-4 Feet - Tight,0.472,1.24,2.15,0.575,0.575,0.466,1.24,2.12,0.583,0.006,0.0,0.03,0.0
2,1628389,"Adebayo, Bam",3,68,33,4-6 Feet - Open,0.155,0.47,0.71,0.667,0.667,0.155,0.47,0.71,0.667,0.0,0.0,0.0,
3,1628389,"Adebayo, Bam",4,68,22,6+ Feet - Wide Open,0.1,0.19,0.46,0.419,0.419,0.084,0.19,0.38,0.5,0.016,0.0,0.07,0.0
0,201167,"Afflalo, Arron",1,53,9,0-2 Feet - Very Tight,0.058,0.11,0.17,0.667,0.667,0.058,0.11,0.17,0.667,0.0,0.0,0.0,
1,201167,"Afflalo, Arron",2,53,33,2-4 Feet - Tight,0.351,0.38,1.02,0.37,0.407,0.273,0.3,0.79,0.381,0.078,0.08,0.23,0.333
2,201167,"Afflalo, Arron",3,53,38,4-6 Feet - Open,0.39,0.53,1.13,0.467,0.592,0.175,0.25,0.51,0.481,0.214,0.28,0.62,0.455
3,201167,"Afflalo, Arron",4,53,24,6+ Feet - Wide Open,0.201,0.21,0.58,0.355,0.484,0.045,0.06,0.13,0.429,0.156,0.15,0.45,0.333
0,202332,"Aldrich, Cole",1,21,7,0-2 Feet - Very Tight,0.5,0.1,0.33,0.286,0.286,0.5,0.1,0.33,0.286,0.0,0.0,0.0,
1,202332,"Aldrich, Cole",2,21,4,2-4 Feet - Tight,0.5,0.14,0.33,0.429,0.429,0.5,0.14,0.33,0.429,0.0,0.0,0.0,
0,200746,"Aldridge, LaMarcus",1,75,62,0-2 Feet - Very Tight,0.125,1.2,2.17,0.552,0.552,0.124,1.2,2.16,0.556,0.001,0.0,0.01,0.0
1,200746,"Aldridge, LaMarcus",2,75,75,2-4 Feet - Tight,0.503,4.88,8.73,0.559,0.56,0.496,4.87,8.61,0.565,0.007,0.01,0.12,0.111
2,200746,"Aldridge, LaMarcus",3,75,74,4-6 Feet - Open,0.224,1.96,3.89,0.503,0.514,0.212,1.88,3.68,0.511,0.012,0.08,0.21,0.375
3,200746,"Aldridge, LaMarcus",4,75,65,6+ Feet - Wide Open,0.148,1.12,2.57,0.435,0.487,0.098,0.85,1.71,0.5,0.05,0.27,0.87,0.308
0,1628386,"Allen, Jarrett",1,70,44,0-2 Feet - Very Tight,0.198,0.63,1.0,0.629,0.629,0.198,0.63,1.0,0.629,0.0,0.0,0.0,
1,1628386,"Allen, Jarrett",2,70,61,2-4 Feet - Tight,0.524,1.76,2.64,0.665,0.665,0.524,1.76,2.64,0.665,0.0,0.0,0.0,
2,1628386,"Allen, Jarrett",3,70,40,4-6 Feet - Open,0.173,0.63,0.87,0.721,0.721,0.173,0.63,0.87,0.721,0.0,0.0,0.0,
3,1628386,"Allen, Jarrett",4,70,33,6+ Feet - Wide Open,0.105,0.27,0.53,0.514,0.581,0.062,0.2,0.31,0.636,0.042,0.07,0.21,0.333
0,1628443,"Allen, Kadeem",1,18,2,0-2 Feet - Very Tight,0.095,0.06,0.11,0.5,0.5,0.095,0.06,0.11,0.5,0.0,0.0,0.0,
1,1628443,"Allen, Kadeem",2,18,3,2-4 Feet - Tight,0.19,0.17,0.22,0.75,0.75,0.19,0.17,0.22,0.75,0.0,0.0,0.0,
2,1628443,"Allen, Kadeem",3,18,3,4-6 Feet - Open,0.143,0.06,0.17,0.333,0.333,0.095,0.06,0.11,0.5,0.048,0.0,0.06,0.0
3,1628443,"Allen, Kadeem",4,18,7,6+ Feet - Wide Open,0.571,0.06,0.67,0.083,0.083,0.095,0.06,0.11,0.5,0.476,0.0,0.56,0.0
0,2754,"Allen, Tony",1,22,11,0-2 Feet - Very Tight,0.213,0.45,0.77,0.588,0.588,0.213,0.45,0.77,0.588,0.0,0.0,0.0,
1,2754,"Allen, Tony",2,22,19,2-4 Feet - Tight,0.488,0.95,1.77,0.538,0.538,0.463,0.95,1.68,0.568,0.025,0.0,0.09,0.0
2,2754,"Allen, Tony",3,22,7,4-6 Feet - Open,0.125,0.27,0.45,0.6,0.6,0.1,0.27,0.36,0.75,0.025,0.0,0.09,0.0
3,2754,"Allen, Tony",4,22,12,6+ Feet - Wide Open,0.175,0.32,0.64,0.5,0.643,0.075,0.14,0.27,0.5,0.1,0.18,0.36,0.5
0,202329,"Aminu, Al-Farouq",1,69,29,0-2 Feet - Very Tight,0.073,0.22,0.59,0.366,0.378,0.071,0.2,0.58,0.35,0.002,0.01,0.01,1.0
1,202329,"Aminu, Al-Farouq",2,69,58,2-4 Feet - Tight,0.264,1.06,2.16,0.49,0.52,0.222,0.93,1.81,0.512,0.043,0.13,0.35,0.375
2,202329,"Aminu, Al-Farouq",3,69,59,4-6 Feet - Open,0.245,0.74,2.0,0.37,0.486,0.08,0.28,0.65,0.422,0.165,0.46,1.35,0.344
3,202329,"Aminu, Al-Farouq",4,69,65,6+ Feet - Wide Open,0.418,1.3,3.42,0.381,0.557,0.027,0.1,0.22,0.467,0.392,1.2,3.2,0.376
0,1626147,"Anderson, Justin",1,37,13,0-2 Feet - Very Tight,0.086,0.24,0.43,0.563,0.563,0.086,0.24,0.43,0.563,0.0,0.0,0.0,
1,1626147,"Anderson, Justin",2,37,26,2-4 Feet - Tight,0.285,0.78,1.43,0.547,0.557,0.253,0.76,1.27,0.596,0.032,0.03,0.16,0.167
2,1626147,"Anderson, Justin",3,37,27,4-6 Feet - Open,0.306,0.68,1.54,0.439,0.579,0.081,0.24,0.41,0.6,0.226,0.43,1.14,0.381
3,1626147,"Anderson, Justin",4,37,28,6+ Feet - Wide Open,0.323,0.59,1.62,0.367,0.492,0.043,0.19,0.22,0.875,0.28,0.41,1.41,0.288
0,203937,"Anderson, Kyle",1,74,37,0-2 Feet - Very Tight,0.128,0.47,0.7,0.673,0.673,0.128,0.47,0.7,0.673,0.0,0.0,0.0,
1,203937,"Anderson, Kyle",2,74,65,2-4 Feet - Tight,0.477,1.47,2.62,0.562,0.562,0.467,1.47,2.57,0.574,0.01,0.0,0.05,0.0
2,203937,"Anderson, Kyle",3,74,51,4-6 Feet - Open,0.204,0.66,1.12,0.59,0.608,0.179,0.62,0.99,0.63,0.025,0.04,0.14,0.3
3,203937,"Anderson, Kyle",4,74,47,6+ Feet - Wide Open,0.192,0.51,1.05,0.487,0.59,0.088,0.3,0.49,0.611,0.103,0.22,0.57,0.381
0,201583,"Anderson, Ryan",1,66,25,0-2 Feet - Very Tight,0.064,0.24,0.45,0.533,0.533,0.064,0.24,0.45,0.533,0.0,0.0,0.0,
1,201583,"Anderson, Ryan",2,66,40,2-4 Feet - Tight,0.113,0.53,0.8,0.66,0.67,0.109,0.52,0.77,0.667,0.004,0.02,0.03,0.5
2,201583,"Anderson, Ryan",3,66,57,4-6 Feet - Open,0.332,0.86,2.35,0.368,0.497,0.081,0.26,0.58,0.447,0.251,0.61,1.77,0.342
3,201583,"Anderson, Ryan",4,66,64,6+ Feet - Wide Open,0.49,1.5,3.47,0.432,0.629,0.021,0.14,0.15,0.9,0.469,1.36,3.32,0.411
0,1628387,"Anigbogu, Ike",2,11,2,2-4 Feet - Tight,0.286,0.09,0.18,0.5,0.5,0.286,0.09,0.18,0.5,0.0,0.0,0.0,
1,1628387,"Anigbogu, Ike",3,11,2,4-6 Feet - Open,0.429,0.18,0.27,0.667,0.667,0.429,0.18,0.27,0.667,0.0,0.0,0.0,
2,1628387,"Anigbogu, Ike",4,11,1,6+ Feet - Wide Open,0.286,0.09,0.18,0.5,0.5,0.286,0.09,0.18,0.5,0.0,0.0,0.0,
0,203507,"Antetokounmpo, Giannis",1,74,66,0-2 Feet - Very Tight,0.154,1.8,2.69,0.668,0.668,0.153,1.8,2.68,0.672,0.001,0.0,0.01,0.0
1,203507,"Antetokounmpo, Giannis",2,74,74,2-4 Feet - Tight,0.431,4.86,7.53,0.646,0.646,0.426,4.86,7.43,0.655,0.005,0.0,0.09,0.0
2,203507,"Antetokounmpo, Giannis",3,74,74,4-6 Feet - Open,0.253,1.97,4.42,0.446,0.457,0.232,1.88,4.05,0.463,0.021,0.09,0.36,0.259
3,203507,"Antetokounmpo, Giannis",4,74,69,6+ Feet - Wide Open,0.161,1.2,2.81,0.428,0.51,0.082,0.74,1.43,0.519,0.079,0.46,1.38,0.333
0,2546,"Anthony, Carmelo",1,76,50,0-2 Feet - Very Tight,0.075,0.53,1.07,0.494,0.5,0.071,0.51,1.01,0.506,0.004,0.01,0.05,0.25
1,2546,"Anthony, Carmelo",2,76,76,2-4 Feet - Tight,0.358,2.36,5.09,0.463,0.499,0.286,1.99,4.07,0.489,0.072,0.37,1.03,0.359
2,2546,"Anthony, Carmelo",3,76,76,4-6 Feet - Open,0.357,1.87,5.08,0.368,0.446,0.178,1.08,2.53,0.427,0.18,0.79,2.55,0.309
3,2546,"Anthony, Carmelo",4,76,71,6+ Feet - Wide Open,0.209,1.33,2.97,0.447,0.619,0.037,0.3,0.53,0.575,0.172,1.03,2.45,0.419
0,1628384,"Anunoby, OG",1,74,24,0-2 Feet - Very Tight,0.078,0.24,0.34,0.72,0.72,0.075,0.24,0.32,0.75,0.003,0.0,0.01,0.0
1,1628384,"Anunoby, OG",2,74,47,2-4 Feet - Tight,0.228,0.72,0.99,0.726,0.74,0.222,0.69,0.96,0.718,0.006,0.03,0.03,1.0
2,1628384,"Anunoby, OG",3,74,38,4-6 Feet - Open,0.191,0.45,0.82,0.541,0.689,0.063,0.2,0.27,0.75,0.128,0.24,0.55,0.439
3,1628384,"Anunoby, OG",4,74,61,6+ Feet - Wide Open,0.503,0.74,2.18,0.342,0.497,0.038,0.07,0.16,0.417,0.466,0.68,2.01,0.336
0,1627853,"Arcidiacono, Ryan",1,24,1,0-2 Feet - Very Tight,0.024,0.04,0.04,1.0,1.0,0.024,0.04,0.04,1.0,0.0,0.0,0.0,
1,1627853,"Arcidiacono, Ryan",2,24,4,2-4 Feet - Tight,0.098,0.04,0.17,0.25,0.25,0.049,0.04,0.08,0.5,0.049,0.0,0.08,0.0
2,1627853,"Arcidiacono, Ryan",3,24,9,4-6 Feet - Open,0.366,0.25,0.63,0.4,0.533,0.073,0.08,0.13,0.667,0.293,0.17,0.5,0.333
3,1627853,"Arcidiacono, Ryan",4,24,14,6+ Feet - Wide Open,0.512,0.38,0.88,0.429,0.548,0.098,0.17,0.17,1.0,0.415,0.21,0.71,0.294
