,PID,PLAYER,EFG_PCT,FGA,FGA_PG,UAST_PCT,VT_FGA_FREQ,T_FGA_FREQ,O_FGA_FREQ,WO_FGA_FREQ,RA_AST_PCT,NON_RA_PCT,RA_UAST_PCT,GROUP,SCORER_TYPE
0,203518,"Abrines, Alex",0.54,291,3.9,0.12173913043478261,0.04,0.154,0.36,0.445,0.11299999999999999,0.8,0.08700000000000001,5,Catch and Shoot
1,203112,"Acy, Quincy",0.496,365,5.2,0.038461538461538464,0.026000000000000002,0.124,0.29100000000000004,0.5589999999999999,0.13843846153846154,0.8384615384615385,0.023100000000000002,5,Catch and Shoot
2,203500,"Adams, Steven",0.629,712,9.4,0.3080357142857143,0.22899999999999998,0.5670000000000001,0.166,0.038,0.5264799107142857,0.1986607142857143,0.27485937499999996,2,Rim Runner
3,1628389,"Adebayo, Bam",0.512,340,4.9,0.2988505747126437,0.272,0.47200000000000003,0.155,0.1,0.5865172413793104,0.16091954022988508,0.25256321839080453,2,Rim Runner
4,201167,"Afflalo, Arron",0.485,162,3.1,0.24615384615384617,0.057999999999999996,0.35100000000000003,0.39,0.201,0.13843076923076922,0.8307692307692307,0.03080000000000001,5,Catch and Shoot
5,200746,"Aldridge, LaMarcus",0.52,1347,18.0,0.48180494905385735,0.125,0.503,0.22399999999999998,0.14800000000000002,0.23869577874818046,0.5691411935953421,0.19216302765647747,1,Skilled Finesse
6,1628386,"Allen, Jarrett",0.596,397,5.5,0.15384615384615385,0.198,0.524,0.17300000000000001,0.105,0.6752777777777778,0.2008547008547008,0.1238675213675214,2,Rim Runner
7,2754,"Allen, Tony",0.505,91,4.1,0.2727272727272727,0.213,0.488,0.125,0.175,0.6138636363636363,0.15909090909090906,0.22704545454545455,2,Rim Runner
8,202329,"Aminu, Al-Farouq",0.503,582,8.4,0.2565217391304348,0.073,0.264,0.245,0.418,0.1739391304347826,0.6391304347826087,0.1869304347826087,5,Catch and Shoot
9,1626147,"Anderson, Justin",0.515,202,5.3,0.21839080459770116,0.086,0.285,0.306,0.32299999999999995,0.35635632183908045,0.5057471264367817,0.13789655172413795,3,Skilled Paint Dweller
10,203937,"Anderson, Kyle",0.5489999999999999,438,5.9,0.45021645021645024,0.128,0.47700000000000004,0.204,0.192,0.2898268398268398,0.4372294372294372,0.27294372294372293,1,Skilled Finesse
11,201583,"Anderson, Ryan",0.568,480,7.3,0.2463768115942029,0.064,0.113,0.332,0.49,0.0628888888888889,0.7777777777777778,0.15933333333333333,5,Catch and Shoot
