,GROUP_SET,GROUP_VALUE,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,EFG_PCT,BLKA,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,EFG_PCT_RANK,BLKA_RANK,PCT_AST_2PM_RANK,PCT_UAST_2PM_RANK,PCT_AST_3PM_RANK,PCT_UAST_3PM_RANK,PCT_AST_FGM_RANK,PCT_UAST_FGM_RANK,CFID,CFPARAMS,PID
0,Shot Area,Restricted Area,23,40,0.575,0,0,0.0,0.575,2,0.565,0.435,0.0,0.0,0.565,0.435,2,2,1,5,6,5,2,5,2,2,5,1,5,2,49,Restricted Area,203518
1,Shot Area,In The Paint (Non-RA),6,15,0.4,0,0,0.0,0.4,4,0.333,0.667,0.0,0.0,0.333,0.667,5,6,2,5,6,5,5,7,3,1,5,1,6,1,49,In The Paint (Non-RA),203518
2,Shot Area,Mid-Range,3,17,0.176,1,2,0.5,0.206,0,1.0,0.0,1.0,0.0,1.0,0.0,6,5,6,4,4,1,6,1,1,3,1,1,1,3,49,Mid-Range,203518
3,Shot Area,Left Corner 3,9,24,0.375,9,24,0.375,0.563,0,0.0,0.0,1.0,0.0,1.0,0.0,4,4,4,3,3,3,3,1,4,3,1,1,1,3,49,Left Corner 3,203518
4,Shot Area,Right Corner 3,13,35,0.371,13,35,0.371,0.557,0,0.0,0.0,1.0,0.0,1.0,0.0,3,3,5,2,2,4,4,1,4,3,1,1,1,3,49,Right Corner 3,203518
5,Shot Area,Above the Break 3,61,159,0.384,61,159,0.384,0.575,3,0.0,0.0,1.0,0.0,1.0,0.0,1,1,3,1,1,2,1,6,4,3,1,1,1,3,49,Above the Break 3,203518
6,Shot Area,Backcourt,0,1,0.0,0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7,7,7,5,5,5,7,1,4,3,5,1,7,3,49,Backcourt,203518
0,Shot Area,Restricted Area,21,46,0.457,0,0,0.0,0.457,6,0.857,0.143,0.0,0.0,0.857,0.143,3,3,1,4,5,4,4,7,1,1,4,2,4,1,49,Restricted Area,203112
1,Shot Area,In The Paint (Non-RA),0,5,0.0,0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,6,6,6,4,5,4,6,3,3,3,4,2,6,4,49,In The Paint (Non-RA),203112
2,Shot Area,Mid-Range,7,23,0.304,0,1,0.0,0.304,2,0.857,0.143,0.0,0.0,0.857,0.143,5,5,5,4,4,4,5,5,1,1,4,2,4,1,49,Mid-Range,203112
3,Shot Area,Left Corner 3,27,60,0.45,27,60,0.45,0.675,3,0.0,0.0,0.963,0.037,0.963,0.037,2,2,2,2,2,1,1,6,3,3,3,1,3,3,49,Left Corner 3,203112
4,Shot Area,Right Corner 3,10,32,0.313,10,32,0.313,0.469,0,0.0,0.0,1.0,0.0,1.0,0.0,4,4,4,3,3,3,3,1,3,3,1,2,1,4,49,Right Corner 3,203112
5,Shot Area,Above the Break 3,65,199,0.327,65,199,0.327,0.49,1,0.0,0.0,1.0,0.0,1.0,0.0,1,1,3,1,1,2,2,3,3,3,1,2,1,4,49,Above the Break 3,203112
6,Shot Area,Backcourt,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,6,7,6,4,5,4,6,1,3,3,4,2,6,4,49,Backcourt,203112
0,Shot Area,Restricted Area,359,530,0.677,0,0,0.0,0.677,38,0.657,0.343,0.0,0.0,0.657,0.343,1,1,1,1,2,1,1,7,3,1,1,1,3,1,49,Restricted Area,203500
1,Shot Area,In The Paint (Non-RA),84,168,0.5,0,0,0.0,0.5,8,0.833,0.167,0.0,0.0,0.833,0.167,2,2,2,1,2,1,2,6,1,3,1,1,1,3,49,In The Paint (Non-RA),203500
2,Shot Area,Mid-Range,5,12,0.417,0,0,0.0,0.417,0,0.8,0.2,0.0,0.0,0.8,0.2,3,3,3,1,2,1,3,1,2,2,1,1,2,2,49,Mid-Range,203500
3,Shot Area,Left Corner 3,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4,5,4,1,2,1,4,1,4,4,1,1,4,4,49,Left Corner 3,203500
4,Shot Area,Right Corner 3,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4,5,4,1,2,1,4,1,4,4,1,1,4,4,49,Right Corner 3,203500
5,Shot Area,Above the Break 3,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4,5,4,1,2,1,4,1,4,4,1,1,4,4,49,Above the Break 3,203500
6,Shot Area,Backcourt,0,2,0.0,0,2,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4,4,4,1,1,1,4,1,4,4,1,1,4,4,49,Backcourt,203500
0,Shot Area,Restricted Area,146,233,0.627,0,0,0.0,0.627,22,0.699,0.301,0.0,0.0,0.699,0.301,1,1,1,1,4,1,1,7,2,2,1,1,2,2,49,Restricted Area,1628389
1,Shot Area,In The Paint (Non-RA),17,67,0.254,0,0,0.0,0.254,7,0.647,0.353,0.0,0.0,0.647,0.353,2,2,3,1,4,1,3,6,3,1,1,1,3,1,49,In The Paint (Non-RA),1628389
2,Shot Area,Mid-Range,11,33,0.333,0,0,0.0,0.333,0,0.818,0.182,0.0,0.0,0.818,0.182,3,3,2,1,4,1,2,1,1,3,1,1,1,3,49,Mid-Range,1628389
3,Shot Area,Left Corner 3,0,1,0.0,0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4,6,4,1,3,1,4,1,4,4,1,1,4,4,49,Left Corner 3,1628389
4,Shot Area,Right Corner 3,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4,7,4,1,4,1,4,1,4,4,1,1,4,4,49,Right Corner 3,1628389
5,Shot Area,Above the Break 3,0,2,0.0,0,2,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4,5,4,1,2,1,4,1,4,4,1,1,4,4,49,Above the Break 3,1628389
6,Shot Area,Backcourt,0,4,0.0,0,4,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4,4,4,1,1,1,4,1,4,4,1,1,4,4,49,Backcourt,1628389
0,Shot Area,Restricted Area,11,20,0.55,0,0,0.0,0.55,3,0.818,0.182,0.0,0.0,0.818,0.182,3,4,1,4,5,4,2,6,1,3,4,2,4,3,49,Restricted Area,201167
1,Shot Area,In The Paint (Non-RA),9,18,0.5,0,0,0.0,0.5,3,0.556,0.444,0.0,0.0,0.556,0.444,4,5,2,4,5,4,4,6,2,1,4,2,5,1,49,In The Paint (Non-RA),201167
2,Shot Area,Mid-Range,18,55,0.327,0,1,0.0,0.327,1,0.556,0.444,0.0,0.0,0.556,0.444,1,1,5,4,4,4,5,4,2,1,4,2,5,1,49,Mid-Range,201167
3,Shot Area,Left Corner 3,8,22,0.364,8,22,0.364,0.545,1,0.0,0.0,1.0,0.0,1.0,0.0,5,3,4,2,2,2,3,4,4,4,1,2,1,5,49,Left Corner 3,201167
4,Shot Area,Right Corner 3,1,8,0.125,1,8,0.125,0.188,0,0.0,0.0,1.0,0.0,1.0,0.0,6,6,6,3,3,3,6,1,4,4,1,2,1,5,49,Right Corner 3,201167
5,Shot Area,Above the Break 3,18,39,0.462,18,39,0.462,0.692,0,0.0,0.0,0.889,0.111,0.889,0.111,1,2,3,1,1,1,1,1,4,4,3,1,3,4,49,Above the Break 3,201167
6,Shot Area,Backcourt,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7,7,7,4,5,4,7,1,4,4,4,2,7,5,49,Backcourt,201167
0,Shot Area,Restricted Area,2,9,0.222,0,0,0.0,0.222,1,1.0,0.0,0.0,0.0,1.0,0.0,2,1,2,1,1,1,2,7,1,2,1,1,1,2,49,Restricted Area,202332
1,Shot Area,In The Paint (Non-RA),3,6,0.5,0,0,0.0,0.5,0,0.667,0.333,0.0,0.0,0.667,0.333,1,2,1,1,1,1,1,1,2,1,1,1,2,1,49,In The Paint (Non-RA),202332
