,PLAYER_NAME,combined_zone,SHOT_TYPE,TEAM_NAME,TEAM_ID,PLAYER_ID,FGM,FGA,FG%,shot_value,scaled_pts_per_OREB,OREB%,xpps
0,Aaron Gordon,Above the Break 3_Center(C)_24+ ft._3PT Field Goal,3PT Field Goal,Orlando Magic,1610612753,203932,6,22,0.2727272727272727,3,1.6334829769881134,0.1069182389937107,0.945199362418744
1,D.J. Augustin,Above the Break 3_Center(C)_24+ ft._3PT Field Goal,3PT Field Goal,Orlando Magic,1610612753,201571,6,22,0.2727272727272727,3,1.6334829769881134,0.1069182389937107,0.945199362418744
2,Evan Fournier,Above the Break 3_Center(C)_24+ ft._3PT Field Goal,3PT Field Goal,Orlando Magic,1610612753,203095,7,39,0.1794871794871795,3,1.6334829769881134,0.1069182389937107,0.68176338324166
3,Jarell Martin,Above the Break 3_Center(C)_24+ ft._3PT Field Goal,3PT Field Goal,Orlando Magic,1610612753,1626185,0,2,0.0,3,1.6334829769881134,0.1069182389937107,0.17464912332577315
4,Jerian Grant,Above the Break 3_Center(C)_24+ ft._3PT Field Goal,3PT Field Goal,Orlando Magic,1610612753,1626170,4,16,0.25,3,1.6334829769881134,0.1069182389937107,0.8809868424943299
5,Jonathan Isaac,Above the Break 3_Center(C)_24+ ft._3PT Field Goal,3PT Field Goal,Orlando Magic,1610612753,1628371,6,15,0.4,3,1.6334829769881134,0.1069182389937107,1.304789473995464
6,Jonathon Simmons,Above the Break 3_Center(C)_24+ ft._3PT Field Goal,3PT Field Goal,Orlando Magic,1610612753,203613,1,8,0.125,3,1.6334829769881134,0.1069182389937107,0.5278179829100516
7,Mo Bamba,Above the Break 3_Center(C)_24+ ft._3PT Field Goal,3PT Field Goal,Orlando Magic,1610612753,1628964,3,16,0.1875,3,1.6334829769881134,0.1069182389937107,0.7044024127021906
8,Nikola Vucevic,Above the Break 3_Center(C)_24+ ft._3PT Field Goal,3PT Field Goal,Orlando Magic,1610612753,202696,17,48,0.3541666666666667,3,1.6334829769881134,0.1069182389937107,1.1752942254812284
9,Terrence Ross,Above the Break 3_Center(C)_24+ ft._3PT Field Goal,3PT Field Goal,Orlando Magic,1610612753,203082,9,28,0.32142857142857145,3,1.6334829769881134,0.1069182389937107,1.0827976193996318
10,Wes Iwundu,Above the Break 3_Center(C)_24+ ft._3PT Field Goal,3PT Field Goal,Orlando Magic,1610612753,1628411,1,3,0.3333333333333333,3,1.6334829769881134,0.1069182389937107,1.1164327488838488
11,Aaron Gordon,Above the Break 3_Left Side Center(LC)_24+ ft._3PT Field Goal,3PT Field Goal,Orlando Magic,1610612753,203932,21,47,0.44680851063829785,3,1.4241734612094978,0.1407766990291262,1.4513351363098494
12,D.J. Augustin,Above the Break 3_Left Side Center(LC)_24+ ft._3PT Field Goal,3PT Field Goal,Orlando Magic,1610612753,201571,16,42,0.38095238095238093,3,1.4241734612094978,0.1407766990291262,1.2669702715848314
13,Evan Fournier,Above the Break 3_Left Side Center(LC)_24+ ft._3PT Field Goal,3PT Field Goal,Orlando Magic,1610612753,203095,23,73,0.3150684931506849,3,1.4241734612094978,0.1407766990291262,1.0825276977492866
14,Isaiah Briscoe,Above the Break 3_Left Side Center(LC)_24+ ft._3PT Field Goal,3PT Field Goal,Orlando Magic,1610612753,1628515,0,1,0.0,3,1.4241734612094978,0.1407766990291262,0.2004904387139584
15,Jarell Martin,Above the Break 3_Left Side Center(LC)_24+ ft._3PT Field Goal,3PT Field Goal,Orlando Magic,1610612753,1626185,1,3,0.3333333333333333,3,1.4241734612094978,0.1407766990291262,1.1336602924759722
16,Jerian Grant,Above the Break 3_Left Side Center(LC)_24+ ft._3PT Field Goal,3PT Field Goal,Orlando Magic,1610612753,1626170,7,22,0.3181818181818182,3,1.4241734612094978,0.1407766990291262,1.0912434809413354
17,Jonathan Isaac,Above the Break 3_Left Side Center(LC)_24+ ft._3PT Field Goal,3PT Field Goal,Orlando Magic,1610612753,1628371,4,17,0.23529411764705882,3,1.4241734612094978,0.1407766990291262,0.8591985707812623
18,Jonathon Simmons,Above the Break 3_Left Side Center(LC)_24+ ft._3PT Field Goal,3PT Field Goal,Orlando Magic,1610612753,203613,8,25,0.32,3,1.4241734612094978,0.1407766990291262,1.0963334983254918
