SEASON,TEAM,FTM,FTA,PF,PFD,"%PTS
FT",PACE,PFD/POSS
2009-10,Atlanta Hawks,17.7,23.3,19.9,19.3,17.4,90.79,21.2578
2009-10,Boston Celtics,19,25.5,22.1,21.7,19.2,92.23,23.5281
2009-10,Charlotte Bobcats,20,26.6,19.5,22,21,90.94,24.1918
2009-10,Chicago Bulls,18,23.9,20.1,20,18.5,94.05,21.2653
2009-10,Cleveland Cavaliers,19.1,26.6,19.4,20.8,18.7,91.78,22.6629
2009-10,Dallas Mavericks,18.6,22.8,19.1,20.1,18.2,93.63,21.4675
2009-10,Denver Nuggets,23.6,30.6,22.5,23.7,22.2,95.64,24.7804
2009-10,Detroit Pistons,17.7,24.4,22.2,20.8,18.9,89.47,23.2480
2009-10,Golden State Warriors,19.9,25.4,23,21.4,18.3,101.52,21.0796
2009-10,Houston Rockets,19,24.7,20.9,22.4,18.6,94.93,23.5963
2009-10,Indiana Pacers,19.1,24.6,22.5,20.8,18.9,97.78,21.2722
2009-10,Los Angeles Clippers,16.6,22.8,19.3,19.4,17.4,93.45,20.7598
2009-10,Los Angeles Lakers,18.5,24.2,19.4,21.2,18.2,93.76,22.6109
2009-10,Memphis Grizzlies,19.7,26.9,20.2,22.4,19.2,94.33,23.7464
2009-10,Miami Heat,17.7,23.5,20.9,20,18.3,90.34,22.1386
2009-10,Milwaukee Bucks,15.4,20.4,22.2,20.3,15.8,92.65,21.9104
2009-10,Minnesota Timberwolves,17.5,23.5,20.7,20.6,17.8,97.15,21.2043
2009-10,New Jersey Nets,19.2,24.6,20,20.1,20.8,92.66,21.6922
2009-10,New Orleans Hornets,15.8,20.3,19.6,19.5,15.7,93.54,20.8467
2009-10,New York Knicks,16.8,21.5,20,19.2,16.4,95.05,20.1999
2009-10,Oklahoma City Thunder,21.7,27,21.3,21.4,21.4,94.15,22.7297
2009-10,Orlando Magic,19.2,26.5,19.9,22.2,18.7,92.56,23.9844
2009-10,Philadelphia 76ers,16.7,22,20.5,18.7,17,92.74,20.1639
2009-10,Phoenix Suns,19.9,25.8,20.9,21.8,18,96.43,22.6071
2009-10,Portland Trail Blazers,19.6,24.8,20.9,21.5,20,88.66,24.2499
2009-10,Sacramento Kings,17.4,24,22.3,20.1,17.4,94.81,21.2003
2009-10,San Antonio Spurs,17.8,24,20.4,20.4,17.5,92.26,22.1114
2009-10,Toronto Raptors,19.7,25.8,22.2,21.1,19,93.96,22.4564
2009-10,Utah Jazz,20.2,27.2,22.7,22.2,19.4,94.68,23.4474
2009-10,Washington Wizards,17.6,23.1,21.4,20.5,18.3,92.62,22.1334
2010-11,Atlanta Hawks,16.4,21.1,19,18.5,17.3,90.23,20.5032
2010-11,Boston Celtics,17.8,23.1,20.5,20.2,18.4,90.94,22.2124
2010-11,Charlotte Bobcats,18.4,24.4,20,21.1,19.8,90.3,23.3666
2010-11,Chicago Bulls,18.2,24.5,20,20.1,18.4,91.23,22.0322
2010-11,Cleveland Cavaliers,18.9,25.3,20.1,21.3,19.8,93.76,22.7176
2010-11,Dallas Mavericks,17.5,22.6,19.2,20.1,17.5,92.24,21.7910
2010-11,Denver Nuggets,22.7,29.6,21,22.7,21.1,96.07,23.6286
2010-11,Detroit Pistons,16.7,22.6,19.9,18.8,17.2,89.83,20.9284
2010-11,Golden State Warriors,15.7,20.7,22,18.4,15.2,95.87,19.1927
2010-11,Houston Rockets,20.3,25.4,20,21.4,19.2,95.15,22.4908
2010-11,Indiana Pacers,19.4,24.8,21.7,21.4,19.5,95.53,22.4013
2010-11,Los Angeles Clippers,18.9,26.7,21.1,22.1,19.1,93.36,23.6718
2010-11,Los Angeles Lakers,18.8,24.1,19,20.7,18.5,91.79,22.5515
2010-11,Memphis Grizzlies,18.1,24.2,20.8,21.4,18.1,92.44,23.1502
2010-11,Miami Heat,21.5,27.9,20.4,21.8,21,91.66,23.7835
2010-11,Milwaukee Bucks,17.4,22.9,20.5,20.7,18.9,90.58,22.8527
2010-11,Minnesota Timberwolves,18.5,24.1,22.3,20.9,18.3,97.53,21.4293
2010-11,New Jersey Nets,17.4,22.9,22,20,18.5,90.74,22.0410
2010-11,New Orleans Hornets,17.7,23.1,21,20.4,18.7,89.42,22.8137
2010-11,New York Knicks,20.6,25.5,21.3,20.8,19.3,96.47,21.5611
2010-11,Oklahoma City Thunder,24.1,29.3,22.4,21.5,23,93.88,22.9016
2010-11,Orlando Magic,17.7,25.6,20,21.8,17.9,91.56,23.8095
2010-11,Philadelphia 76ers,17.4,22.6,19.4,18.8,17.6,92.81,20.2564
2010-11,Phoenix Suns,18,23.6,20.3,21.2,17.1,95.24,22.2596
2010-11,Portland Trail Blazers,18,22.4,19.3,21.3,18.7,89.15,23.8923
2010-11,Sacramento Kings,17.7,24.2,22,21,17.9,95.78,21.9252
2010-11,San Antonio Spurs,18.5,24.2,19,20.7,17.9,93.35,22.1746
2010-11,Toronto Raptors,18.2,24.1,22,19.8,18.4,93.78,21.1132
2010-11,Utah Jazz,19.4,25.1,22.7,22,19.5,92.05,23.9001
2010-11,Washington Wizards,18.2,24.4,22.6,20.3,18.7,94.78,21.4180
2011-12,Atlanta Hawks,15.5,21,17.8,19.1,16.1,90.92,21.0075
2011-12,Boston Celtics,15.4,19.8,19.9,18.4,16.8,91.13,20.1909
2011-12,Charlotte Bobcats,16.5,22.2,18.9,20.3,19,91.88,22.0940
2011-12,Chicago Bulls,15.2,21.1,17.3,17.7,15.8,90,19.6667
2011-12,Cleveland Cavaliers,17.8,24.9,20,20.9,19.2,92.35,22.6313
2011-12,Dallas Mavericks,15.6,20.2,18.6,18.4,16.3,92.64,19.8618
2011-12,Denver Nuggets,19.6,26.7,19.7,22,18.8,95.06,23.1433
2011-12,Detroit Pistons,16.6,22.1,19.6,19.4,18.3,90.33,21.4768
2011-12,Golden State Warriors,14.4,18.7,21.4,16.6,14.7,93.8,17.6972
2011-12,Houston Rockets,15.4,19.7,20.4,18.4,15.7,92.85,19.8169
2011-12,Indiana Pacers,20.4,26.1,21.7,21.6,20.9,91.69,23.5576
2011-12,Los Angeles Clippers,15.8,23.3,21.2,21.2,16.2,89.99,23.5582
2011-12,Los Angeles Lakers,18.2,24.1,16.8,20.2,18.7,91.75,22.0163
2011-12,Memphis Grizzlies,17.3,22.8,19.9,19.3,18.2,91.84,21.0148
2011-12,Miami Heat,18.8,24.2,19.4,20.5,19,92.09,22.2608
2011-12,Milwaukee Bucks,16.6,21.4,19.3,19.4,16.8,94.68,20.4901
2011-12,Minnesota Timberwolves,19.4,25.2,18.4,21.7,19.8,94.44,22.9776
2011-12,New Jersey Nets,16.9,21.7,19.2,19.3,18.1,91.27,21.1461
2011-12,New Orleans Hornets,16,21.2,20.1,18.7,17.9,89.28,20.9453
2011-12,New York Knicks,18.3,24.8,21.1,21.8,18.8,93.94,23.2063
2011-12,Oklahoma City Thunder,21.3,26.4,20.5,20,20.7,94.12,21.2495
2011-12,Orlando Magic,15.1,22.8,17.7,19.8,16,89.78,22.0539
2011-12,Philadelphia 76ers,13.5,18.2,17.5,16.2,14.4,90.69,17.8630
2011-12,Phoenix Suns,16,21.2,18.7,19.6,16.3,93.61,20.9379
2011-12,Portland Trail Blazers,17.2,21.6,19,19.8,17.7,92.26,21.4611
2011-12,Sacramento Kings,17.1,23.2,19.5,19.9,17.3,95.57,20.8224
2011-12,San Antonio Spurs,16.2,21.6,17.3,18.8,15.6,93.7,20.0640
2011-12,Toronto Raptors,16.4,21.4,23.2,18.4,18.1,90.2,20.3991
2011-12,Utah Jazz,19.1,25.3,21.8,20.7,19.1,92.55,22.3663
2011-12,Washington Wizards,15.3,21,21.3,18.7,16.3,93.59,19.9808
2012-13,Atlanta Hawks,14.1,19.7,18,18.8,14.4,93.58,20.0898
2012-13,Boston Celtics,16.3,21,21.2,19.4,16.9,92.52,20.9684
2012-13,Brooklyn Nets,17.5,23.9,18.3,21.4,18,89.92,23.7989
2012-13,Charlotte Bobcats,18.9,25.1,19,21.3,20.2,92.5,23.0270
2012-13,Chicago Bulls,16.4,21.2,19.7,19.6,17.6,90.38,21.6862
2012-13,Cleveland Cavaliers,16.8,22.3,21.2,19.7,17.4,93.26,21.1237
2012-13,Dallas Mavericks,16.1,20.4,20.7,18.9,16,95.15,19.8634
2012-13,Denver Nuggets,18.4,26.2,20.5,21.6,17.3,95.98,22.5047
2012-13,Detroit Pistons,15.9,22.8,19.8,19.9,16.8,91.69,21.7036
2012-13,Golden State Warriors,16.8,21.3,21.4,19.2,16.6,95.66,20.0711
2012-13,Houston Rockets,19.2,25.5,20.3,20.4,18.1,96.9,21.0526
2012-13,Indiana Pacers,17.6,23.6,20,21.9,18.6,90.93,24.0845
2012-13,Los Angeles Clippers,16.4,23,20.9,20.9,16.2,91.84,22.7570
2012-13,Los Angeles Lakers,19.3,27.9,17.9,23.1,18.9,95.08,24.2953
2012-13,Memphis Grizzlies,16.5,21.3,20.2,20,17.6,89.58,22.3264
