SEASON,TEAM,FTM,FTA,PF,PFD,"%PTS
FT",PACE,PFD/POSS,FTA/POSS,FTA/PFD
2003-04,Atlanta Hawks,18.7,24.1,22.3,20.7,20.2,92.73,22.3229,25.98943168,1.164251208
2003-04,Boston Celtics,19.2,25.5,22.4,22.2,20.1,94.48,23.4970,26.98983912,1.148648649
2003-04,Chicago Bulls,16.2,22.4,23.3,20.5,18.1,93.26,21.9816,24.01887197,1.092682927
2003-04,Cleveland Cavaliers,18.6,24.8,21.3,20.2,20.1,91.75,22.0163,27.02997275,1.227722772
2003-04,Dallas Mavericks,18,22.6,19.6,20.6,17.1,94.65,21.7644,23.87744321,1.097087379
2003-04,Denver Nuggets,20.2,26.3,22,23.1,20.8,94.65,24.4057,27.78658214,1.138528139
2003-04,Detroit Pistons,19,25.3,20.3,22.9,21.1,89.35,25.6295,28.31561276,1.104803493
2003-04,Golden State Warriors,17.9,24.7,20.6,22,19.2,90.97,24.1838,27.15180829,1.122727273
2003-04,Houston Rockets,16.7,21.6,21.5,20.7,18.6,88.96,23.2689,24.28057554,1.043478261
2003-04,Indiana Pacers,18.8,24.6,20.8,21.9,20.5,88.57,24.7262,27.77464153,1.123287671
2003-04,Los Angeles Clippers,22,28.1,22.1,22.7,23.3,92.5,24.5405,30.37837838,1.237885463
2003-04,Los Angeles Lakers,19.9,28.7,21.1,24.7,20.3,93.41,26.4426,30.7247618,1.16194332
2003-04,Memphis Grizzlies,19,26.1,23.2,23.1,19.6,92.63,24.9379,28.17661665,1.12987013
2003-04,Miami Heat,17.8,23.4,22.1,21.1,19.7,89.31,23.6256,26.20087336,1.109004739
2003-04,Milwaukee Bucks,20.7,26.7,20.3,22.9,21.1,93.2,24.5708,28.64806867,1.165938865
2003-04,Minnesota Timberwolves,16.6,21.3,21.1,20.2,17.6,90.25,22.3823,23.60110803,1.054455446
2003-04,New Jersey Nets,17,22.6,21,21.2,18.9,90.98,23.3018,24.84062431,1.066037736
2003-04,New Orleans Hornets,17.7,23.6,20.9,21.1,19.3,90.6,23.2892,26.04856512,1.118483412
2003-04,New York Knicks,16.8,21.1,23.1,19.5,18.2,91.32,21.3535,23.10556286,1.082051282
2003-04,Orlando Magic,18,24.4,21.3,20.6,19.1,92.17,22.3500,26.47282196,1.184466019
2003-04,Philadelphia 76ers,18.4,24.5,20.7,21.4,21,89.29,23.9668,27.43868294,1.144859813
