Player,POS.,AGE,TYPE,FROM,TO,YRS,DOLLARS,AVG. SALARY,2018 CAP HIT,Season,Cap,PercCap
Brook Lopez,C,30,UFA,LAL,TBD,-,-,-,-,2017-18,101900000,-
Al Jefferson,C,33,UFA,IND,TBD,-,-,-,-,2017-18,101900000,-
Vince Carter,SG,41,UFA,SAC,TBD,-,-,-,-,2017-18,101900000,-
Channing Frye,PF,35,UFA,LAL,TBD,-,-,-,-,2017-18,101900000,-
Jabari Parker,PF,23,RFA,MIL,TBD,-,-,-,-,2017-18,101900000,-
Cole Aldrich,C,29,UFA,MIN,TBD,-,-,-,-,2017-18,101900000,-
Isaiah Thomas,PG,29,UFA,LAL,TBD,-,-,-,-,2017-18,101900000,-
Wayne Ellington,SG,30,UFA,MIA,TBD,-,-,-,-,2017-18,101900000,-
Shelvin Mack,PG,28,UFA,ORL,TBD,-,-,-,-,2017-18,101900000,-
Alan Williams,PF,25,UFA,PHX,TBD,-,-,-,-,2017-18,101900000,-
Nick Young,SG,33,UFA,GSW,TBD,-,-,-,-,2017-18,101900000,-
Greg Monroe,C,28,UFA,BOS,TBD,-,-,-,-,2017-18,101900000,-
Dirk Nowitzki,PF,40,UFA,DAL,TBD,-,-,-,-,2017-18,101900000,-
Jahlil Okafor,C,22,RFA,BKN,TBD,-,-,-,-,2017-18,101900000,-
Jamal Crawford,SG,38,UFA,MIN,TBD,-,-,-,-,2017-18,101900000,-
Alex Len,C,25,UFA,PHX,TBD,-,-,-,-,2017-18,101900000,-
Devin Harris,PG,35,UFA,DEN,TBD,-,-,-,-,2017-18,101900000,-
Marcus Smart,PG,24,RFA,BOS,TBD,-,-,-,-,2017-18,101900000,-
Zaza Pachulia,C,34,UFA,GSW,TBD,-,-,-,-,2017-18,101900000,-
Tarik Black,PF,26,UFA,HOU,TBD,-,-,-,-,2017-18,101900000,-
James Ennis,SF,28,UFA,DET,TBD,-,-,-,-,2017-18,101900000,-
Noah Vonleh,PF,22,UFA,CHI,TBD,-,-,-,-,2017-18,101900000,-
Malcom Delaney,SG,29,UFA,ATL,TBD,-,-,-,-,2017-18,101900000,-
David West,PF,37,UFA,GSW,TBD,-,-,-,-,2017-18,101900000,-
Nick Collison,PF,37,UFA,OKC,TBD,-,-,-,-,2017-18,101900000,-
Udonis Haslem,PF,38,UFA,MIA,TBD,-,-,-,-,2017-18,101900000,-
Arron Afflalo,SG,32,UFA,ORL,TBD,-,-,-,-,2017-18,101900000,-
Jarrett Jack,PG,34,UFA,NYK,TBD,-,-,-,-,2017-18,101900000,-
Jason Terry,SG,40,UFA,MIL,TBD,-,-,-,-,2017-18,101900000,-
Dwyane Wade,SG,36,UFA,MIA,TBD,-,-,-,-,2017-18,101900000,-
Richard Jefferson,SF,38,UFA,DEN,TBD,-,-,-,-,2017-18,101900000,-
Dante Cunningham,PF,31,UFA,BKN,TBD,-,-,-,-,2017-18,101900000,-
Jameer Nelson,PG,36,UFA,DET,TBD,-,-,-,-,2017-18,101900000,-
Jusuf Nurkic,C,23,RFA,POR,TBD,-,-,-,-,2017-18,101900000,-
Lucas Nogueira,C,25,UFA,TOR,TBD,-,-,-,-,2017-18,101900000,-
Luc Richard Mbah a Moute,PF,31,UFA,HOU,TBD,-,-,-,-,2017-18,101900000,-
Marreese Speights,PF,30,UFA,ORL,TBD,-,-,-,-,2017-18,101900000,-
Michael Beasley,SF,29,UFA,NYK,TBD,-,-,-,-,2017-18,101900000,-
Aaron Brooks,PG,33,UFA,MIN,TBD,-,-,-,-,2017-18,101900000,-
Mario Chalmers,PG,32,UFA,MEM,TBD,-,-,-,-,2017-18,101900000,-
Tim Frazier,PG,27,UFA,WAS,TBD,-,-,-,-,2017-18,101900000,-
Luke Babbitt,SF,29,UFA,MIA,TBD,-,-,-,-,2017-18,101900000,-
Bruno Caboclo,SF,22,UFA,SAC,TBD,-,-,-,-,2017-18,101900000,-
Quincy Acy,PF,27,UFA,BKN,TBD,-,-,-,-,2017-18,101900000,-
Rodney Hood,SG,25,RFA,CLE,TBD,-,-,-,-,2017-18,101900000,-
Tyler Ennis,PG,23,UFA,LAL,TBD,-,-,-,-,2017-18,101900000,-
Joffrey Lauvergne,PF,26,UFA,SAS,TBD,-,-,-,-,2017-18,101900000,-
Ian Clark,SG,27,UFA,NOP,TBD,-,-,-,-,2017-18,101900000,-
Shabazz Napier,PG,26,UFA,POR,TBD,-,-,-,-,2017-18,101900000,-
Shane Larkin,PG,25,UFA,BOS,TBD,-,-,-,-,2017-18,101900000,-
Clint Capela,C,24,RFA,HOU,TBD,-,-,-,-,2017-18,101900000,-
Jordan Mickey,PF,23,UFA,MIA,TBD,-,-,-,-,2017-18,101900000,-
Ty Lawson,PG,30,UFA,WAS,TBD,-,-,-,-,2017-18,101900000,-
Marcus Georges-Hunt,SG,24,UFA,MIN,TBD,-,-,-,-,2017-18,101900000,-
Chris McCullough,PF,23,UFA,WAS,TBD,-,-,-,-,2017-18,101900000,-
Josh Huestis,SF,26,RFA,OKC,TBD,-,-,-,-,2017-18,101900000,-
Joseph Young,PG,26,UFA,IND,TBD,-,-,-,-,2017-18,101900000,-
Dwight Buycks,PG,29,UFA,DET,TBD,-,-,-,-,2017-18,101900000,-
Alex Poythress,SF,24,UFA,IND,TBD,-,-,-,-,2017-18,101900000,-
Kyle Collinsworth,PG,26,UFA,DAL,TBD,-,-,-,-,2017-18,101900000,-
Montrezl Harrell,PF,24,RFA,LAC,TBD,-,-,-,-,2017-18,101900000,-
Tyler Ulis,PG,22,UFA,PHX,TBD,-,-,-,-,2017-18,101900000,-
Pat Connaughton,SG,25,UFA,POR,TBD,-,-,-,-,2017-18,101900000,-
Julyan Stone,PG,29,UFA,CHA,TBD,-,-,-,-,2017-18,101900000,-
Joe Johnson,SG,37,UFA,HOU,TBD,-,-,-,-,2017-18,101900000,-
Patrick McCaw,SG,22,RFA,GSW,TBD,-,-,-,-,2017-18,101900000,-
Davis Bertans,SF,25,RFA,SAS,TBD,-,-,-,-,2017-18,101900000,-
Bryn Forbes,SG,24,RFA,SAS,TBD,-,-,-,-,2017-18,101900000,-
Omari Johnson,SF,28,UFA,MEM,TBD,-,-,-,-,2017-18,101900000,-
David Nwaba,SG,25,RFA,CHI,TBD,-,-,-,-,2017-18,101900000,-
Aaron Jackson,G,32,UFA,HOU,TBD,-,-,-,-,2017-18,101900000,-
Treveon Graham,SG,24,UFA,CHA,TBD,-,-,-,-,2017-18,101900000,-
Corey Brewer,SG,32,UFA,OKC,TBD,-,-,-,-,2017-18,101900000,-
Trevor Booker,PF,30,UFA,IND,TBD,-,-,-,-,2017-18,101900000,-
Ramon Sessions,PG,32,UFA,WAS,TBD,-,-,-,-,2017-18,101900000,-
Shabazz Muhammad,SF,25,UFA,MIL,TBD,-,-,-,-,2017-18,101900000,-
Wade Baldwin,PG,22,RFA,POR,TBD,-,-,-,-,2017-18,101900000,-
Yogi Ferrell,PG,25,RFA,DAL,TBD,-,-,-,-,2017-18,101900000,-
Travis Wear,PF,27,UFA,LAL,TBD,-,-,-,-,2017-18,101900000,-
Aaron Harrison,SG,23,UFA,DAL,TBD,-,-,-,-,2017-18,101900000,-
Josh Magette,PG,19,UFA,ATL,TBD,-,-,-,-,2017-18,101900000,-
Jabari Bird,SG,24,RFA,BOS,TBD,-,-,-,-,2017-18,101900000,-
Jordan Crawford,SG,29,UFA,NOP,TBD,-,-,-,-,2017-18,101900000,-
Damion Lee,G,25,UFA,ATL,TBD,-,-,-,-,2017-18,101900000,-
Jonathan Gibson,PG,30,UFA,BOS,TBD,-,-,-,-,2017-18,101900000,-
Andre Ingram,G,32,UFA,LAL,TBD,-,-,-,-,2017-18,101900000,-
Lorenzo Brown,PG,27,UFA,TOR,TBD,-,-,-,-,2017-18,101900000,-
David Stockton,PG,27,RFA,UTH,TBD,-,-,-,-,2017-18,101900000,-
Amile Jefferson,PF,25,UFA,MIN,TBD,-,-,-,-,2017-18,101900000,-
Ryan Arcidiacono,PG,24,RFA,CHI,TBD,-,-,-,-,2017-18,101900000,-
Xavier Munford,PG,26,RFA,MIL,TBD,-,-,-,-,2017-18,101900000,-
Marshall Plumlee,PF,25,RFA,MIL,TBD,-,-,-,-,2017-18,101900000,-
Isaiah Hicks,PF,23,RFA,NYK,TBD,-,-,-,-,2017-18,101900000,-
Georges Niang,SF,25,RFA,UTH,TBD,-,-,-,-,2017-18,101900000,-
Torrey Craig,SF,27,RFA,DEN,TBD,-,-,-,-,2017-18,101900000,-
Malcolm Miller,SF,25,RFA,TOR,TBD,-,-,-,-,2017-18,101900000,-
Nando De Colo,PG,31,RFA,TOR,TBD,-,-,-,-,2017-18,101900000,-
Derrick Walton Jr.,G,23,RFA,MIA,TBD,-,-,-,-,2017-18,101900000,-
Darrun Hilliard II,SF,25,RFA,SAS,TBD,-,-,-,-,2017-18,101900000,-
Charles Cooke,G,24,UFA,NOP,TBD,-,-,-,-,2017-18,101900000,-
Jamel Artis,SF,25,UFA,ORL,TBD,-,-,-,-,2017-18,101900000,-
JaKarr Sampson,SG,25,RFA,SAC,TBD,-,-,-,-,2017-18,101900000,-
Jack Cooley,PF,27,UFA,SAC,TBD,-,-,-,-,2017-18,101900000,-
Tyrone Wallace,PG,24,RFA,LAC,TBD,-,-,-,-,2017-18,101900000,-
Milton Doyle,G,24,RFA,BKN,TBD,-,-,-,-,2017-18,101900000,-
Markel Brown,SG,26,RFA,HOU,TBD,-,-,-,-,2017-18,101900000,-
Marcus Paige,PG,24,UFA,CHA,TBD,-,-,-,-,2017-18,101900000,-
Chris Paul,PG,33,UFA,HOU,HOU,4,"$159,730,592","$39,932,648","$35,654,150",2017-18,101900000,0.392
LeBron James,SF,33,UFA,CLE,LAL,4,"$153,312,846","$38,328,212","$35,654,150",2017-18,101900000,0.376
Nikola Jokic,C,23,RFA,DEN,DEN,5,"$147,710,050","$29,542,010","$25,467,250",2017-18,101900000,0.290
