Player (46 of 158),Pos.,Age,Type,From,To,Yrs,Dollars,Avg. Salary,2018 Cap Hit
Chris Paul,PG,33,UFA,HOU,HOU,4,"$159,730,592","$39,932,648","$35,654,150"
LeBron James,SF,33,UFA,CLE,LAL,4,"$153,312,846","$38,328,212","$35,654,150"
Nikola Jokic,C,23,RFA,DEN,DEN,5,"$147,710,050","$29,542,010","$25,467,250"
Paul George,SF,28,UFA,OKC,OKC,4,"$136,911,936","$34,227,984","$30,560,700"
Aaron Gordon,PF,22,RFA,ORL,ORL,4,"$84,000,000","$21,000,000","$18,750,000"
Kevin Durant,SF,29,UFA,GSW,GSW,2,"$61,500,000","$30,750,000","$30,000,000"
Will Barton,SG,27,UFA,DEN,DEN,4,"$54,000,000","$13,500,000","$12,053,571"
Derrick Favors,PF,26,UFA,UTH,UTH,2,"$36,000,000","$18,000,000","$16,000,000"
Dante Exum,PG,22,RFA,UTH,UTH,3,"$33,000,000","$11,000,000","$11,000,000"
Jerami Grant,SF,24,UFA,OKC,OKC,3,"$27,000,000","$9,000,000","$8,333,333"
Avery Bradley,SG,27,UFA,LAC,LAC,2,"$25,000,000","$12,500,000","$12,500,000"
DeAndre Jordan,C,30,UFA,LAC,DAL,1,"$24,100,000","$24,100,000","$24,100,000"
Doug McDermott,SF,26,UFA,DAL,IND,3,"$22,000,000","$7,333,333","$6,984,127"
Ersan Ilyasova,PF,31,UFA,PHI,MIL,3,"$21,000,000","$7,000,000","$6,666,667"
Fred VanVleet,PG,24,RFA,TOR,TOR,2,"$18,117,900","$9,058,950","$8,838,000"
Joe Harris,SG,26,UFA,BKN,BKN,2,"$16,000,000","$8,000,000","$7,692,308"
Trevor Ariza,SF,33,UFA,HOU,PHX,1,"$15,000,000","$15,000,000","$15,000,000"
J.J. Redick,SG,34,UFA,PHI,PHI,1,"$13,000,000","$13,000,000","$13,000,000"
Tyreke Evans,SG,28,UFA,MEM,IND,1,"$12,000,000","$12,000,000","$12,000,000"
Kentavious Caldwell-Pope,SG,25,UFA,LAL,LAL,1,"$12,000,000","$12,000,000","$12,000,000"
Marco Belinelli,SG,32,UFA,PHI,SAS,2,"$12,000,000","$6,000,000","$6,000,000"
Aron Baynes,C,31,UFA,BOS,BOS,2,"$11,000,000","$5,500,000","$5,365,854"
Rudy Gay,SF,31,UFA,SAS,SAS,1,"$10,087,200","$10,087,200","$10,087,200"
Rajon Rondo,PG,32,UFA,NOP,LAL,1,"$9,000,000","$9,000,000","$9,000,000"
Glen Robinson III,SG,24,UFA,IND,DET,2,"$8,300,000","$4,150,000","$4,048,780"
Mario Hezonja,SG,23,UFA,ORL,NYK,1,"$6,500,000","$6,500,000","$6,500,000"
Anthony Tolliver,PF,33,UFA,DET,MIN,1,"$5,750,000","$5,750,000","$5,750,000"
Seth Curry,SG,27,UFA,DAL,POR,2,"$5,600,000","$2,800,000","$2,750,000"
DeMarcus Cousins,C,27,UFA,NOP,GSW,1,"$5,337,000","$5,337,000","$5,337,000"
Lance Stephenson,SG,27,UFA,IND,LAL,1,"$4,449,000","$4,449,000","$4,449,000"
Raul Neto,PG,26,RFA,UTH,UTH,2,"$4,400,000","$2,200,000","$2,750,000"
Ed Davis,PF,29,UFA,POR,BKN,1,"$4,400,000","$4,400,000","$4,400,000"
Nerlens Noel,C,24,UFA,DAL,OKC,2,"$3,466,716","$1,733,358","$1,621,415"
Derrick Jones Jr.,SF,21,RFA,MIA,MIA,2,"$3,157,958","$1,578,979","$1,512,601"
Elfrid Payton,PG,24,UFA,PHX,NOP,1,"$2,700,000","$2,700,000","$2,700,000"
Jeff Green,SF,31,UFA,CLE,WAS,1,"$2,393,887","$2,393,887","$1,512,601"
Jose Calderon,PG,36,UFA,CLE,DET,1,"$2,393,887","$2,393,887","$1,512,601"
Gerald Green,SG,32,UFA,HOU,HOU,1,"$2,393,887","$2,393,887","$1,512,601"
JaVale McGee,C,30,UFA,GSW,LAL,1,"$2,393,887","$2,393,887","$1,512,601"
Derrick Rose,PG,29,UFA,MIN,MIN,1,"$2,176,260","$2,176,260","$1,618,486"
Omri Casspi,SF,30,UFA,GSW,MEM,1,"$2,165,481","$2,165,481","$1,512,601"
Mike Scott,PF,30,UFA,WAS,LAC,1,"$1,893,447","$1,893,447","$1,512,601"
Michael Carter-Williams,PG,26,UFA,CHA,HOU,1,"$1,757,429","$1,757,429","$1,512,601"
Nik Stauskas,SG,24,UFA,BKN,POR,1,"$1,621,415","$1,621,415","$1,512,601"
Luke Kornet,C,22,RFA,NYK,NYK,1,"$1,619,260","$1,619,260","$1,619,260"
Salah Mejri,C,32,UFA,DAL,DAL,1,"$1,567,007","$1,567,007","$1,512,601"
Brook Lopez,C,30,UFA,LAL,TBD,-,0-,0-,0-
Tony Parker,PG,36,UFA,SAS,TBD,-,0-,0-,0-
Amir Johnson,PF,31,UFA,PHI,TBD,-,0-,0-,0-
Al Jefferson,C,33,UFA,IND,TBD,-,0-,0-,0-
Vince Carter,SG,41,UFA,SAC,TBD,-,0-,0-,0-
Channing Frye,PF,35,UFA,LAL,TBD,-,0-,0-,0-
Jabari Parker,PF,23,RFA,MIL,TBD,-,0-,0-,0-
Cole Aldrich,C,29,UFA,MIN,TBD,-,0-,0-,0-
Isaiah Thomas,PG,29,UFA,LAL,TBD,-,0-,0-,0-
Wayne Ellington,SG,30,UFA,MIA,TBD,-,0-,0-,0-
Shelvin Mack,PG,28,UFA,ORL,TBD,-,0-,0-,0-
Alan Williams,PF,25,UFA,PHX,TBD,-,0-,0-,0-
Nick Young,SG,33,UFA,GSW,TBD,-,0-,0-,0-
Greg Monroe,C,28,UFA,BOS,TBD,-,0-,0-,0-
Dirk Nowitzki,PF,40,UFA,DAL,TBD,-,0-,0-,0-
Jahlil Okafor,C,22,RFA,BKN,TBD,-,0-,0-,0-
Jamal Crawford,SG,38,UFA,MIN,TBD,-,0-,0-,0-
Alex Len,C,25,UFA,PHX,TBD,-,0-,0-,0-
Devin Harris,PG,35,UFA,DEN,TBD,-,0-,0-,0-
Kyle O'Quinn,C,28,UFA,NYK,TBD,-,0-,0-,0-
Nemanja Bjelica,PF,30,UFA,MIN,TBD,-,0-,0-,0-
Marcus Smart,PG,24,RFA,BOS,TBD,-,0-,0-,0-
Zaza Pachulia,C,34,UFA,GSW,TBD,-,0-,0-,0-
Julius Randle,PF,23,UFA,LAL,TBD,-,0-,0-,0-
Tarik Black,PF,26,UFA,HOU,TBD,-,0-,0-,0-
James Ennis,SF,28,UFA,DET,TBD,-,0-,0-,0-
Noah Vonleh,PF,22,UFA,CHI,TBD,-,0-,0-,0-
Malcom Delaney,SG,29,UFA,ATL,TBD,-,0-,0-,0-
Zach LaVine,SG,23,RFA,CHI,TBD,-,0-,0-,0-
David West,PF,37,UFA,GSW,TBD,-,0-,0-,0-
Raymond Felton,PG,34,UFA,OKC,TBD,-,0-,0-,0-
Nick Collison,PF,37,UFA,OKC,TBD,-,0-,0-,0-
Udonis Haslem,PF,38,UFA,MIA,TBD,-,0-,0-,0-
Arron Afflalo,SG,32,UFA,ORL,TBD,-,0-,0-,0-
Jarrett Jack,PG,34,UFA,NYK,TBD,-,0-,0-,0-
Jason Terry,SG,40,UFA,MIL,TBD,-,0-,0-,0-
Dwyane Wade,SG,36,UFA,MIA,TBD,-,0-,0-,0-
Richard Jefferson,SF,38,UFA,DEN,TBD,-,0-,0-,0-
Dante Cunningham,PF,31,UFA,BKN,TBD,-,0-,0-,0-
Jameer Nelson,PG,36,UFA,DET,TBD,-,0-,0-,0-
Jusuf Nurkic,C,23,RFA,POR,TBD,-,0-,0-,0-
Lucas Nogueira,C,25,UFA,TOR,TBD,-,0-,0-,0-
Luc Richard Mbah a Moute,PF,31,UFA,HOU,TBD,-,0-,0-,0-
Marreese Speights,PF,30,UFA,ORL,TBD,-,0-,0-,0-
Michael Beasley,SF,29,UFA,NYK,TBD,-,0-,0-,0-
Aaron Brooks,PG,33,UFA,MIN,TBD,-,0-,0-,0-
Mario Chalmers,PG,32,UFA,MEM,TBD,-,0-,0-,0-
Tim Frazier,PG,27,UFA,WAS,TBD,-,0-,0-,0-
Luke Babbitt,SF,29,UFA,MIA,TBD,-,0-,0-,0-
Bruno Caboclo,SF,22,UFA,SAC,TBD,-,0-,0-,0-
Quincy Acy,PF,27,UFA,BKN,TBD,-,0-,0-,0-
Rodney Hood,SG,25,RFA,CLE,TBD,-,0-,0-,0-
Tyler Ennis,PG,23,UFA,LAL,TBD,-,0-,0-,0-
Joffrey Lauvergne,PF,26,UFA,SAS,TBD,-,0-,0-,0-
Ian Clark,SG,27,UFA,NOP,TBD,-,0-,0-,0-
Shabazz Napier,PG,26,UFA,POR,TBD,-,0-,0-,0-
Shane Larkin,PG,25,UFA,BOS,TBD,-,0-,0-,0-
Clint Capela,C,24,RFA,HOU,TBD,-,0-,0-,0-
Jordan Mickey,PF,23,UFA,MIA,TBD,-,0-,0-,0-
Ty Lawson,PG,30,UFA,WAS,TBD,-,0-,0-,0-
Marcus Georges-Hunt,SG,24,UFA,MIN,TBD,-,0-,0-,0-
Chris McCullough,PF,23,UFA,WAS,TBD,-,0-,0-,0-
Josh Huestis,SF,26,RFA,OKC,TBD,-,0-,0-,0-
Kevon Looney,SF,22,UFA,GSW,TBD,-,0-,0-,0-
Joseph Young,PG,26,UFA,IND,TBD,-,0-,0-,0-
Kyle Anderson,SG,24,RFA,SAS,TBD,-,0-,0-,0-
Montrezl Harrell,PF,24,RFA,LAC,TBD,-,0-,0-,0-
Tyler Ulis,PG,22,UFA,PHX,TBD,-,0-,0-,0-
Pat Connaughton,SG,25,UFA,POR,TBD,-,0-,0-,0-
Julyan Stone,PG,29,UFA,CHA,TBD,-,0-,0-,0-
Joe Johnson,SG,37,UFA,HOU,TBD,-,0-,0-,0-
Patrick McCaw,SG,22,RFA,GSW,TBD,-,0-,0-,0-
Davis Bertans,SF,25,RFA,SAS,TBD,-,0-,0-,0-
Bryn Forbes,SG,24,RFA,SAS,TBD,-,0-,0-,0-
Omari Johnson,SF,28,UFA,MEM,TBD,-,0-,0-,0-
David Nwaba,SG,25,RFA,CHI,TBD,-,0-,0-,0-
Treveon Graham,SG,24,UFA,CHA,TBD,-,0-,0-,0-
Corey Brewer,SG,32,UFA,OKC,TBD,-,0-,0-,0-
Trevor Booker,PF,30,UFA,IND,TBD,-,0-,0-,0-
