Rk,Season,Age,Tm,Lg,Player,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
1,2017-18,20,LAL,NBA,Ivica Zubac,43,0,410,5.4,10.7,5.4,10.6,0,0.1,3.4,4.5,4,6.8,10.8,2.2,0.7,1.3,2.3,4.1,14.1,0.5,0.504,0,0.5,0.765,0.557
2,2017-18,21,CLE,NBA,Ante Zizic,32,2,214,8.2,11.3,8.2,11.3,0,0,3.5,4.9,4,6.1,10.1,0.8,0.3,2.2,1.9,5,20,0.731,0.731,,0.731,0.724,0.746
3,2017-18,23,CHI,NBA,Paul Zipser,54,12,824,3.5,10.2,1.9,5.4,1.6,4.8,0.8,1.1,0.6,5.2,5.7,2,0.9,0.7,1.9,3.8,9.5,0.346,0.355,0.336,0.425,0.731,0.444
4,2017-18,28,TOT,NBA,Tyler Zeller,66,34,1109,6.1,10.8,5.7,9.9,0.3,0.9,1.9,2.6,3.6,6.3,9.9,1.5,0.5,1.1,1.5,4.1,14.3,0.56,0.578,0.357,0.575,0.722,0.598
5,2017-18,25,CHO,NBA,Cody Zeller,33,0,627,4.9,9,4.8,8.8,0.1,0.2,3.5,4.9,3.8,6.3,10.2,1.8,0.8,1.2,1.9,4.7,13.4,0.545,0.542,0.667,0.551,0.718,0.602
6,2017-18,29,IND,NBA,Thaddeus Young,81,81,2607,5.8,11.9,5,9.4,0.8,2.5,0.8,1.3,2.5,4.5,7.1,2.1,1.9,0.5,1.4,2.4,13.2,0.487,0.531,0.32,0.521,0.598,0.528
7,2017-18,32,GSW,NBA,Nick Young,80,8,1393,5.2,12.6,2,4.2,3.2,8.4,1.4,1.7,0.5,2.7,3.2,0.9,1,0.2,1,2.6,15,0.412,0.481,0.377,0.538,0.862,0.562
8,2017-18,25,IND,NBA,Joe Young,53,1,558,5.2,12,3.5,7.7,1.6,4.3,1.4,1.9,0.8,3.3,4.1,2.5,0.9,0.1,1.7,2.5,13.4,0.43,0.458,0.379,0.497,0.759,0.521
9,2017-18,22,PHI,NBA,James Young,6,0,61,3,8.3,1.2,2.4,1.8,5.9,2.4,3.5,0,1.2,1.2,1.2,0,0,0.6,2.4,10,0.357,0.5,0.3,0.464,0.667,0.511
10,2017-18,22,BOS,NBA,Guerschon Yabusele,33,4,235,4,9.3,2.1,3.7,1.8,5.7,2.3,3.4,2.6,5.4,8,2.5,0.6,0.8,1.8,3.5,12.1,0.426,0.583,0.324,0.525,0.682,0.559
11,2017-18,25,TOR,NBA,Delon Wright,69,4,1433,5,10.9,3.6,7,1.4,3.8,2.4,2.9,1.1,3.8,5,5,1.8,0.8,2,2,13.9,0.465,0.52,0.366,0.53,0.829,0.574
12,2017-18,30,TOT,NBA,Brandan Wright,28,1,381,5.6,9.6,5.6,9.6,0,0,2,3.1,3.1,5.9,9,1.2,1.2,2.5,0.8,3,13.1,0.578,0.578,,0.578,0.636,0.596
13,2017-18,26,UTA,NBA,Nate Wolters,5,0,19,1.9,11.4,1.9,11.4,0,0,0,0,1.9,1.9,3.8,1.9,0,0,0,1.9,3.8,0.167,0.167,,0.167,,0.167
14,2017-18,27,DAL,NBA,Jeff Withey,9,0,39,5.5,14.8,3.7,5.5,1.8,9.2,0.9,1.8,0.9,8.3,9.2,0,0,2.8,1.8,2.8,13.8,0.375,0.667,0.2,0.438,0.5,0.444
15,2017-18,21,MIA,NBA,Justise Winslow,68,25,1680,4.4,10.5,3.4,7.7,1,2.8,1.4,2.2,1.4,6.5,7.9,3.2,1.2,0.7,1.6,3,11.3,0.424,0.44,0.38,0.474,0.635,0.496
16,2017-18,27,LAC,NBA,Jamil Wilson,15,10,274,5,10.6,1.4,2.4,3.5,8.3,0.3,0.5,0.4,3.8,4.2,1.3,0.7,1.1,1.1,4.5,13.8,0.469,0.611,0.429,0.636,0.5,0.634
17,2017-18,21,MIL,NBA,D.J. Wilson,22,0,71,4.6,8.1,3.5,5.6,1,2.5,0.5,1,1,4.1,5.1,1.5,1.5,0.5,2,3.5,10.6,0.563,0.636,0.4,0.625,0.5,0.622
18,2017-18,23,TOT,NBA,Troy Williams,21,1,307,6,12.8,4.7,8.3,1.3,4.5,2.3,3.5,2.6,4.8,7.4,1.9,2.3,0.5,2.2,4,15.6,0.468,0.563,0.289,0.518,0.667,0.544
