TEAM,Q,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
Golden State Warriors,1,25.9,10.5,22.9,45.6,2.1,7.6,26.9,2.9,3.7,77.8,2.8,10.1,12.9,6.6,3.9,2.2,1.5,0.5,3.8,4.1,0.1
Golden State Warriors,2,27.2,10.5,21.8,48.4,2.4,7.4,32.8,3.7,4.5,81.8,1.8,8.8,10.6,7.2,3.1,1.7,1.3,1.1,5.1,4.9,0.5
Golden State Warriors,3,30.5,10.6,20.5,51.9,3.8,8,47.1,5.5,6.4,86.1,2.2,9.7,11.9,6.1,3.2,1.9,1.5,1,5.2,5.6,7.6
Golden State Warriors,4,25.5,9.1,21.1,43,2.6,7.8,33.3,4.8,6.1,78.8,2.8,7.8,10.6,5.7,3.2,2.4,1.1,0.9,5.1,5.1,0.6
San Antonio Spurs,1,23,9,23.4,38.5,2.6,7.8,33.3,2.4,2.6,92.3,2.2,7,9.2,4.6,2.4,2.8,0.4,1.8,4.2,3.2,-1.2
New Orleans Pelicans,1,28.2,11,24.8,44.4,3.4,8.6,39.5,2.8,2.8,100,1.6,11.2,12.8,7.6,3.4,1,0.6,1.6,4.2,3.6,-2.2
Houston Rockets,1,26.7,9.5,22.9,41.5,3.4,10.1,33.7,4.2,5.7,74.2,2.9,9.8,12.8,5.4,3.2,2.4,1.3,1.2,3.7,4.6,3
Houston Rockets,2,28.7,10.3,22,46.8,3.9,10.4,37.5,4.2,5.2,80.9,2.1,8.8,10.9,5.1,2.5,1.9,1.4,0.9,5.1,4.8,3.6
San Antonio Spurs,2,23.8,8.2,21.2,38.7,2,7.4,27,5.4,6.6,81.8,1.8,8.2,10,5,2.8,1.6,1.2,1,5.2,5.6,-1.4
New Orleans Pelicans,2,28.2,10.6,23.2,45.7,3,6.8,44.1,4,4.8,83.3,2,9.4,11.4,7.2,4.2,1.8,0.8,1.6,4.6,5,-3.4
New Orleans Pelicans,3,23.6,9.6,25.6,37.5,1,5.8,17.2,3.4,3.8,89.5,3.2,9,12.2,5.4,3,2.4,1.4,1.6,5.6,4.8,-5.4
San Antonio Spurs,3,23.6,8,21.2,37.7,2,7.2,27.8,5.6,6.6,84.8,2.8,6,8.8,4,3,1.6,0.6,1.6,6.2,5.6,-7
Houston Rockets,3,24.8,8.6,20.6,41.6,3.4,10.5,31.8,4.2,5.5,76.6,2,7.5,9.5,4.3,3.1,1.6,1.2,1.3,4.9,5.2,-2.2
New Orleans Pelicans,4,26.4,11,21,52.4,2.4,7.4,32.4,2,4.2,47.6,1.4,9.6,11,7,4.2,2.8,1,1,4.8,4.4,2.4
San Antonio Spurs,4,26.4,9.4,18,52.2,1.8,5.8,31,5.8,7.2,80.6,1.6,8,9.6,5.4,2.8,1.6,0.8,0.6,4.8,5.4,0.8
Houston Rockets,4,24.8,8.8,19.7,44.5,2.8,8.8,31.5,4.5,5.8,77.6,1.8,8.1,9.8,4.1,3.4,2.2,1.6,0.9,5.4,4.9,-2.6
