Q,PLAYER,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
1,Kevin Durant,29,17,12,5,11.9,8.8,3.3,7.6,43.4,0.5,2,26.5,1.6,2.2,75.7,0.2,2.2,2.5,1.3,0.7,0.2,0.2,0.3,14.4,3,0,0.1
1,Stephen Curry,30,11,7,4,9.6,4.9,1.9,4.7,40.4,0.8,2.8,29,0.3,0.3,100,0,1.2,1.2,1.7,0.7,0.5,0,0.4,9.8,1,0,-0.2
1,Klay Thompson,28,17,12,5,8.7,3.6,1.6,3.6,45.9,0.3,1.2,23.8,0.1,0.1,100,0.1,0.6,0.6,0.4,0.4,0.4,0.1,0.5,5.8,0,0,-0.4
1,JaVale McGee,30,6,4,2,7.5,3.5,1.7,2.5,66.7,0,0,0,0.2,0.3,50,1.2,1.7,2.8,0.5,0.5,0.3,0.7,0.5,10.2,0,0,1.2
1,Draymond Green,28,17,12,5,8.9,2.7,1.1,2.6,40,0.3,1.2,25,0.3,0.4,83.3,0.5,2.7,3.2,1.4,1.3,0.5,0.5,0.7,10.5,10,1,-0.4
1,Andre Iguodala,34,13,10,3,7.8,2.2,0.8,1.8,45.8,0.3,0.7,44.4,0.2,0.2,100,0.2,1.5,1.7,1.4,0.4,0.3,0,0.5,6.8,0,0,0.5
1,Quinn Cook,25,10,8,2,2.8,1.6,0.5,1.1,45.5,0,0.6,0,0.6,0.8,75,0,0.5,0.5,0,0,0,0.1,0.3,2.5,0,0,1
1,Kevon Looney,22,17,12,5,6.2,1.4,0.6,1.2,55,0,0,0,0.1,0.1,50,0.8,1,1.8,0.1,0.2,0.2,0.1,0.6,4.4,0,0,0.4
1,Shaun Livingston,32,17,12,5,3.3,1.1,0.5,0.8,61.5,0,0,0,0.1,0.1,100,0.2,0.1,0.3,0.5,0.1,0,0.1,0.1,2.3,0,0,0.8
1,David West,37,11,9,2,2.9,0.9,0.5,0.6,71.4,0,0,0,0,0,0,0.3,0.5,0.7,0.5,0.1,0.2,0.2,0.5,3.6,0,0,0.2
1,Nick Young,32,10,7,3,2.9,0.9,0.3,0.9,33.3,0.3,0.9,33.3,0,0,0,0,0.2,0.2,0.1,0.1,0,0,0.3,1.2,0,0,-0.6
1,Jordan Bell,23,5,3,2,3.5,0.8,0.4,0.8,50,0,0,0,0,0,0,1.2,0.8,2,0.4,0.4,0.4,0.2,0.4,5.2,0,0,-3.8
2,Klay Thompson,28,17,12,5,11.1,7.6,2.9,6,48,1.2,2.8,44.7,0.6,0.7,83.3,0.1,1.1,1.2,0.9,0.5,0.2,0.1,0.6,10.9,0,0,0.8
2,Kevin Durant,29,17,12,5,8.1,6.4,2.2,4.4,50.7,0.4,1.3,31.8,1.5,1.6,92.9,0,1.2,1.2,1.2,0.4,0.1,0.2,0.3,10.1,3,0,0.1
2,Stephen Curry,30,11,7,4,7.9,4.8,2,4.6,43.1,0.5,1.9,23.8,0.4,0.5,80,0.1,1.4,1.5,1,0.7,0.3,0.4,0.8,9.2,1,0,-0.1
2,Shaun Livingston,32,17,12,5,5.3,2.4,1.1,1.8,58.1,0,0,0,0.3,0.3,100,0.2,0.5,0.8,0.4,0.4,0.2,0,0.4,4,0,0,-0.8
2,Draymond Green,28,17,12,5,10.9,2.4,0.8,2.1,38.9,0.2,1,17.6,0.5,0.7,75,0.6,2.6,3.2,2.6,0.8,0.4,0.4,0.7,11.7,10,1,1.4
2,Andre Iguodala,34,13,10,3,7.6,1.8,0.7,1.5,45,0.2,0.6,25,0.3,0.5,66.7,0.3,0.9,1.2,0.5,0.3,0.3,0.1,0.6,4.9,0,0,1.6
2,JaVale McGee,30,5,4,1,2.3,1.6,0.6,1,60,0,0,0,0.4,0.4,100,0,0.2,0.2,0,0,0,0,0.8,1.8,0,0,-2
2,David West,37,13,9,4,4.2,1.5,0.8,1.4,55.6,0,0.1,0,0,0,0,0.1,0.8,0.9,0.8,0.1,0.1,0.2,0.7,4.6,0,0,-1.4
2,Quinn Cook,25,10,7,3,4.4,1.4,0.6,1.1,54.5,0,0.3,0,0.2,0.2,100,0.1,0.4,0.5,0.4,0.1,0,0.1,0.4,2.8,0,0,1
2,Nick Young,32,10,7,3,3.2,1.1,0.4,0.7,57.1,0.3,0.6,50,0,0,0,0,0.1,0.1,0,0.1,0,0,0.2,1.1,0,0,-2
2,Kevon Looney,22,15,11,4,4.9,0.9,0.4,0.9,46.2,0,0,0,0.1,0.3,20,0.5,0.7,1.2,0.3,0.1,0.3,0.1,0.9,3.8,0,0,2.3
2,Jordan Bell,23,5,3,2,3.6,0,0,0.2,0,0,0,0,0,0,0,0,0.6,0.6,0.2,0,0.2,0.2,0.8,2.2,0,0,0
3,Stephen Curry,30,11,7,4,9.7,9.6,3,5.1,58.9,1.7,3,57.6,1.9,2,95.5,0.5,1.8,2.3,1.5,0.5,0.7,0.2,0.6,16.7,1,0,9.3
3,Kevin Durant,29,17,12,5,11.8,9.4,3.2,6.1,53.4,1,2.5,40.5,1.9,2.1,94.3,0.2,2.2,2.4,1,0.9,0.2,0.4,0.7,14.6,3,0,8.2
3,Klay Thompson,28,17,12,5,9,4.4,1.7,3.6,47.5,0.9,1.5,57.7,0.1,0.2,66.7,0.2,0.6,0.9,0.3,0.4,0.1,0.2,0.6,6.4,0,0,5.2
3,Draymond Green,28,17,12,5,9.5,3.1,1.1,2.3,48.7,0.3,0.9,33.3,0.5,0.6,90,0.4,2.5,2.9,1.8,0.8,0.5,0.4,0.7,11.1,10,1,7.2
3,JaVale McGee,30,6,4,2,5.7,2.5,1,1.8,54.5,0,0,0,0.5,0.7,75,0.5,1.2,1.7,0.2,0.2,0.2,0.2,1.2,5.6,0,0,0.8
3,Andre Iguodala,34,13,10,3,7.4,2.2,0.8,1.4,55.6,0.3,0.7,44.4,0.4,0.7,55.6,0.2,1.1,1.3,0.8,0.2,0.2,0.2,0.5,6,0,0,4.5
3,David West,37,8,6,2,3,1.8,0.6,0.9,71.4,0,0,0,0.5,0.5,100,0.1,0.6,0.8,0.6,0.1,0.1,0.1,0,4.2,0,0,2.1
3,Kevon Looney,22,17,12,5,5.5,1.3,0.5,0.9,56.3,0,0,0,0.2,0.4,66.7,0.6,0.6,1.2,0.4,0.1,0.2,0.1,0.9,4.3,0,0,2.4
3,Shaun Livingston,32,16,12,4,3.5,1.2,0.4,1.3,28.6,0,0.1,0,0.4,0.5,87.5,0,0.5,0.5,0.5,0.2,0,0,0.5,2.4,0,0,1.1
3,Jordan Bell,23,6,4,2,5.7,1.2,0.5,0.8,60,0,0,0,0.2,0.3,50,0.3,1.3,1.7,0.5,0.7,0,0.2,0.7,3.8,0,0,5.8
3,Quinn Cook,25,8,6,2,3,1.1,0.4,0.9,42.9,0.1,0.6,20,0.3,0.3,100,0,0.3,0.3,0,0,0.1,0,0.1,1.8,0,0,2
3,Nick Young,32,10,7,3,3.5,1.1,0.3,0.5,60,0.3,0.5,60,0.2,0.3,66.7,0,0.1,0.1,0,0,0,0,0.4,1.2,0,0,1.2
3,Patrick McCaw,22,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
4,Stephen Curry,30,11,7,4,8.5,5.5,2.2,4.8,45.3,0.8,2.2,37.5,0.3,0.3,100,0,1.2,1.2,0.7,0.9,0.3,0.2,0.6,8.4,1,0,0.1
4,Kevin Durant,29,15,10,5,6.9,5,1.5,3.5,44.2,0.3,1.2,27.8,1.6,1.7,96,0.3,0.9,1.2,0.7,0.5,0.1,0.2,0.6,8,2,0,-1.4
4,Klay Thompson,28,17,12,5,9.2,4.8,1.7,4,42.6,0.8,2.1,40,0.6,0.6,100,0.2,1.2,1.4,0.4,0.3,0.1,0,0.4,7.2,0,0,0
4,Quinn Cook,25,12,8,4,6.2,3.3,1.3,2.9,42.9,0.5,1.3,37.5,0.3,0.4,80,0.1,0.8,0.9,0.6,0.3,0.3,0,0.4,5.7,0,0,1.2
4,Draymond Green,28,16,11,5,9.7,3.2,1.1,2.7,39.5,0.3,0.8,38.5,0.8,1,75,0.8,1.7,2.5,2.3,0.6,0.5,0.3,1.3,11.3,9,0,0
4,JaVale McGee,30,3,3,0,4.1,2.7,1.3,2.3,57.1,0,0.3,0,0,0,0,0.7,1,1.7,0,0,0,0.3,0,5.7,0,0,1.3
4,Andre Iguodala,34,10,7,3,5.9,2.2,0.5,1.1,45.5,0.1,0.5,20,1.1,1.5,73.3,0.1,0.8,0.9,0.5,0.1,0.8,0.1,0.2,6.6,0,0,-0.1
4,Patrick McCaw,22,1,1,0,4.5,2,1,2,50,0,1,0,0,0,0,0,2,2,0,0,1,0,1,7.4,0,0,4
4,Shaun Livingston,32,17,12,5,5.7,1.9,0.8,1.8,46.7,0,0,0,0.2,0.4,66.7,0.2,0.4,0.6,0.1,0.2,0.2,0,0.6,3.1,0,0,1.5
4,Zaza Pachulia,34,5,3,2,4,1.8,0.6,0.8,75,0,0,0,0.6,1.2,50,1,0.8,1.8,0.2,0.4,0.6,0,0.2,5.7,0,0,4.4
4,Kevon Looney,22,15,12,3,5.1,1.2,0.5,1.1,50,0,0.1,0,0.1,0.3,50,0.4,0.5,0.9,0.3,0.1,0.1,0.1,0.4,3.5,0,0,-1.1
4,Nick Young,32,14,10,4,5.2,1.1,0.3,1.4,21.1,0.3,1.2,23.5,0.3,0.4,80,0.1,0.4,0.4,0.2,0,0.1,0,0.4,2.2,0,0,1.7
4,Damian Jones,22,4,4,0,2.7,1,0.3,0.5,50,0,0,0,0.5,0.8,66.7,0.3,0.5,0.8,0,0.8,0,0,1,1.2,0,0,-5
4,David West,37,10,7,3,3.6,0.8,0.4,0.8,50,0,0,0,0,0,0,0.4,0.2,0.6,0.7,0.4,0.2,0.1,0.4,3.1,0,0,0.5
4,Jordan Bell,23,11,8,3,4.5,0.6,0.2,0.7,25,0,0,0,0.3,0.5,50,0.3,0.7,1,0.5,0,0.2,0.4,0.4,4.2,0,0,0.8
