Rk,Date,Team,,Opponent,Qtr,PS,PA,+/-,Final
1,Mon Apr 23 2018*,Houston Rockets,@,Minnesota Timberwolves,3rd,50,20,+30,W 119-100
2,Tue May 8 2018*,Golden State Warriors,,New Orleans Pelicans,3rd,36,19,+17,W 113-104
3,Sat Apr 14 2018*,Philadelphia 76ers,,Miami Heat,3rd,34,18,+16,W 130-103
4,Wed Apr 25 2018*,Cleveland Cavaliers,,Indiana Pacers,3rd,32,17,+15,W 98-95
5,Wed Apr 25 2018*,Houston Rockets,,Minnesota Timberwolves,3rd,30,15,+15,W 122-104
6,Wed Apr 25 2018*,Oklahoma City Thunder,,Utah Jazz,3rd,37,22,+15,W 107-99
7,Fri Apr 27 2018*,Indiana Pacers,,Cleveland Cavaliers,3rd,35,20,+15,W 121-87
8,Tue Apr 17 2018*,New Orleans Pelicans,@,Portland Trail Blazers,3rd,33,19,+14,W 111-102
9,Tue Apr 24 2018*,Philadelphia 76ers,,Miami Heat,3rd,34,20,+14,W 104-91
10,Sun May 6 2018*,Golden State Warriors,@,New Orleans Pelicans,3rd,33,19,+14,W 118-92
11,Tue May 15 2018*,Boston Celtics,,Cleveland Cavaliers,3rd,36,22,+14,W 107-94
12,Thu May 3 2018*,Cleveland Cavaliers,@,Toronto Raptors,3rd,37,24,+13,W 128-110
13,Wed Apr 18 2018*,Oklahoma City Thunder,,Utah Jazz,3rd,33,21,+12,L 95-102
14,Mon May 7 2018*,Cleveland Cavaliers,,Toronto Raptors,3rd,37,25,+12,W 128-93
15,Sun May 13 2018*,Cleveland Cavaliers,@,Boston Celtics,3rd,29,17,+12,L 83-108
16,Mon Apr 16 2018*,Golden State Warriors,,San Antonio Spurs,3rd,33,22,+11,W 116-101
17,Fri Apr 20 2018*,Indiana Pacers,,Cleveland Cavaliers,3rd,23,12,+11,W 92-90
18,Fri Apr 20 2018*,Washington Wizards,,Toronto Raptors,3rd,32,21,+11,W 122-103
19,Sat Apr 21 2018*,Minnesota Timberwolves,,Houston Rockets,3rd,35,24,+11,W 121-105
20,Sat Apr 21 2018*,New Orleans Pelicans,,Portland Trail Blazers,3rd,42,31,+11,W 131-123
21,Sun Apr 22 2018*,Washington Wizards,,Toronto Raptors,3rd,40,29,+11,W 106-98
22,Mon Apr 23 2018*,Utah Jazz,,Oklahoma City Thunder,3rd,32,21,+11,W 113-96
23,Fri May 4 2018*,New Orleans Pelicans,,Golden State Warriors,3rd,30,19,+11,W 119-100
24,Tue May 8 2018*,Utah Jazz,@,Houston Rockets,3rd,32,21,+11,L 102-112
25,Sun May 20 2018*,Golden State Warriors,,Houston Rockets,3rd,34,24,+10,W 126-85
26,Sun Apr 15 2018*,Cleveland Cavaliers,,Indiana Pacers,3rd,27,18,+9,L 80-98
27,Sat Apr 21 2018*,Utah Jazz,,Oklahoma City Thunder,3rd,31,22,+9,W 115-102
28,Sun Apr 29 2018*,Indiana Pacers,@,Cleveland Cavaliers,3rd,31,22,+9,L 101-105
29,Thu May 3 2018*,Boston Celtics,,Philadelphia 76ers,3rd,28,19,+9,W 108-103
30,Tue Apr 17 2018*,Washington Wizards,@,Toronto Raptors,3rd,32,24,+8,L 119-130
31,Sun Apr 22 2018*,Indiana Pacers,,Cleveland Cavaliers,3rd,28,20,+8,L 100-104
32,Sun Apr 22 2018*,Boston Celtics,@,Milwaukee Bucks,3rd,32,24,+8,L 102-104
33,Sun Apr 22 2018*,Golden State Warriors,@,San Antonio Spurs,3rd,29,21,+8,L 90-103
34,Fri Apr 27 2018*,Utah Jazz,,Oklahoma City Thunder,3rd,37,29,+8,W 96-91
35,Sat Apr 28 2018*,Golden State Warriors,,New Orleans Pelicans,3rd,27,19,+8,W 123-101
36,Wed May 2 2018*,Houston Rockets,,Utah Jazz,3rd,30,22,+8,L 108-116
37,Wed May 9 2018*,Philadelphia 76ers,@,Boston Celtics,3rd,30,22,+8,L 112-114
38,Sat Apr 14 2018*,Golden State Warriors,,San Antonio Spurs,3rd,29,22,+7,W 113-92
39,Sun Apr 15 2018*,Boston Celtics,,Milwaukee Bucks,3rd,26,19,+7,W 113-107 (OT)
40,Wed Apr 18 2018*,Houston Rockets,,Minnesota Timberwolves,3rd,25,18,+7,W 102-82
41,Sun Apr 29 2018*,Utah Jazz,@,Houston Rockets,3rd,29,22,+7,L 96-110
42,Mon May 7 2018*,Philadelphia 76ers,,Boston Celtics,3rd,29,22,+7,W 103-92
43,Mon May 14 2018*,Golden State Warriors,@,Houston Rockets,3rd,31,24,+7,W 119-106
44,Tue Apr 17 2018*,Boston Celtics,,Milwaukee Bucks,3rd,30,24,+6,W 120-106
45,Thu Apr 19 2018*,Golden State Warriors,@,San Antonio Spurs,3rd,32,26,+6,W 110-97
46,Sat Apr 28 2018*,Boston Celtics,,Milwaukee Bucks,3rd,31,25,+6,W 112-96
47,Sat Apr 14 2018*,Toronto Raptors,,Washington Wizards,3rd,31,26,+5,W 114-106
48,Wed Apr 18 2018*,Indiana Pacers,@,Cleveland Cavaliers,3rd,21,16,+5,L 97-100
