Rk,Player,From,To,Tm,Lg,G,VORP,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
1,LeBron James,2006,2018,TOT,NBA,235,32.5,235,9870,2408,4913,2044,3815,364,1098,1595,2153,357,1731,2088,1647,414,228,846,558,6775,0.49,0.536,0.332,0.527,0.741,0.578
2,Michael Jordan,1985,1998,CHI,NBA,179,22.8,179,7474,2188,4497,2040,4051,148,446,1463,1766,305,847,1152,1022,376,158,546,541,5987,0.487,0.504,0.332,0.503,0.828,0.568
3,Tim Duncan,1998,2016,SAS,NBA,251,18.6,251,9370,1975,3939,1970,3904,5,35,1217,1766,778,2081,2859,764,168,568,633,701,5172,0.501,0.505,0.143,0.502,0.689,0.548
4,Magic Johnson,1980,1996,LAL,NBA,190,17.8,117,7538,1291,2552,1240,2340,51,212,1068,1274,349,1116,1465,2346,358,64,696,524,3701,0.506,0.53,0.241,0.516,0.838,0.595
5,Scottie Pippen,1988,2003,TOT,NBA,208,16.1,200,8105,1335,3009,1135,2349,200,660,772,1067,466,1117,1583,1048,395,185,602,686,3642,0.444,0.483,0.303,0.477,0.724,0.524
6,Larry Bird,1980,1992,BOS,NBA,164,15.4,95,6886,1458,3090,1378,2841,80,249,901,1012,360,1323,1683,1062,296,145,506,466,3897,0.472,0.485,0.321,0.485,0.89,0.551
7,Shaquille O'Neal,1994,2011,TOT,NBA,216,15,214,8098,2041,3627,2041,3627,0,0,1168,2317,866,1642,2508,582,117,459,649,769,5250,0.563,0.563,,0.563,0.504,0.565
8,Kobe Bryant,1997,2012,LAL,NBA,220,14,200,8641,2014,4499,1722,3617,292,882,1320,1617,230,889,1119,1040,310,144,647,660,5640,0.448,0.476,0.331,0.48,0.816,0.541
9,Hakeem Olajuwon,1985,2002,TOT,NBA,145,13.2,140,5749,1504,2847,1500,2829,4,18,743,1034,471,1150,1621,458,245,472,424,562,3755,0.528,0.53,0.222,0.529,0.719,0.569
10,Robert Horry,1993,2008,TOT,NBA,244,11.8,116,6823,665,1562,404,834,261,728,348,482,410,951,1361,575,276,225,282,717,1939,0.426,0.484,0.359,0.509,0.722,0.546
11,Dwyane Wade,2004,2018,TOT,NBA,177,11.5,172,6697,1450,3062,1347,2757,103,305,951,1220,234,694,928,870,273,175,583,467,3954,0.474,0.489,0.338,0.49,0.78,0.549
12,Charles Barkley,1985,1999,TOT,NBA,123,11.3,108,4849,1009,1965,945,1714,64,251,751,1048,510,1072,1582,482,193,108,353,408,2833,0.513,0.551,0.255,0.53,0.717,0.584
13,Karl Malone,1986,2004,TOT,NBA,193,11.2,193,7907,1743,3768,1737,3731,6,37,1269,1725,502,1560,2062,610,258,135,550,662,4761,0.463,0.466,0.162,0.463,0.736,0.526
14,Clyde Drexler,1984,1998,TOT,NBA,145,11,140,5572,1076,2408,935,1919,141,489,670,851,359,643,1002,891,278,108,397,486,2963,0.447,0.487,0.288,0.476,0.787,0.532
15,Manu Ginobili,2003,2018,SAS,NBA,218,11,53,6075,956,2209,632,1304,324,905,818,1001,155,719,874,827,292,61,481,588,3054,0.433,0.485,0.358,0.506,0.817,0.576
16,Jason Kidd,1997,2013,TOT,NBA,158,10.9,146,6088,720,1843,484,1110,236,733,367,470,218,840,1058,1263,302,52,450,348,2043,0.391,0.436,0.322,0.455,0.781,0.498
17,John Stockton,1985,2003,UTA,NBA,182,9.9,165,6398,855,1809,744,1468,111,341,615,759,162,446,608,1839,338,50,517,539,2436,0.473,0.507,0.326,0.503,0.81,0.568
18,Horace Grant,1988,2002,TOT,NBA,170,9.3,160,6172,786,1483,785,1475,1,8,334,468,549,908,1457,360,171,173,184,515,1907,0.53,0.532,0.125,0.53,0.714,0.565
19,Kevin Durant,2010,2018,TOT,NBA,123,9.1,123,4991,1198,2553,938,1792,260,761,885,1032,111,858,969,473,123,142,386,294,3541,0.469,0.523,0.342,0.52,0.858,0.589
20,Isiah Thomas,1984,1992,DET,NBA,111,9,104,4216,825,1869,744,1635,81,234,530,689,134,390,524,987,234,38,369,363,2261,0.441,0.455,0.346,0.463,0.769,0.52
Rk,Player,From,To,Tm,Lg,G,VORP,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
21,Dirk Nowitzki,2001,2016,DAL,NBA,145,8.9,145,5895,1220,2642,1071,2234,149,408,1074,1204,212,1234,1446,360,149,129,328,407,3663,0.462,0.479,0.365,0.49,0.892,0.577
22,Kevin Garnett,1997,2014,TOT,NBA,143,8.8,143,5283,1059,2216,1044,2161,15,55,468,593,320,1214,1534,471,178,186,342,431,2601,0.478,0.483,0.273,0.481,0.789,0.525
23,Chris Paul,2008,2018,TOT,NBA,91,8.8,91,3403,711,1481,557,1075,154,406,370,438,68,381,449,805,198,11,236,279,1946,0.48,0.518,0.379,0.532,0.845,0.581
24,David Robinson,1990,2003,SAS,NBA,123,8.8,123,4221,768,1604,767,1594,1,10,684,966,367,934,1301,280,151,312,280,423,2221,0.479,0.481,0.1,0.479,0.708,0.547
25,Ray Allen,1999,2014,TOT,NBA,171,8.5,121,6064,928,2095,543,1136,385,959,508,575,138,510,648,449,164,41,274,402,2749,0.443,0.478,0.401,0.535,0.883,0.585
26,Chauncey Billups,2001,2013,TOT,NBA,146,8.4,143,5321,737,1793,470,1064,267,729,785,892,71,421,492,831,148,23,322,373,2526,0.411,0.442,0.366,0.485,0.88,0.578
27,Reggie Miller,1990,2005,IND,NBA,144,8.4,144,5308,941,2095,621,1275,320,820,770,862,77,339,416,357,146,34,257,275,2972,0.449,0.487,0.39,0.526,0.893,0.601
28,Paul Pierce,2002,2017,TOT,NBA,170,8.3,159,6229,1022,2415,746,1638,276,777,860,1036,125,860,985,579,204,105,476,547,3180,0.423,0.455,0.355,0.48,0.83,0.554
29,Ben Wallace,2002,2009,TOT,NBA,130,8.3,116,4524,364,755,364,745,0,10,211,505,463,991,1454,173,199,250,136,296,939,0.482,0.489,0,0.482,0.418,0.48
30,Russell Westbrook,2010,2018,OKC,NBA,93,8,93,3523,821,1986,692,1556,129,430,604,719,175,466,641,725,179,25,367,265,2375,0.413,0.445,0.3,0.446,0.84,0.516
31,Pau Gasol,2004,2018,TOT,NBA,136,7.8,122,4825,812,1600,801,1563,11,37,463,625,373,873,1246,438,71,233,250,356,2098,0.508,0.512,0.297,0.511,0.741,0.559
32,Stephen Curry,2013,2018,GSW,NBA,86,7.7,84,3227,752,1652,396,778,356,874,378,425,71,377,448,551,151,23,313,203,2238,0.455,0.509,0.407,0.563,0.889,0.608
33,Kevin McHale,1981,1993,BOS,NBA,169,7.7,84,5716,1204,2145,1196,2124,8,21,766,972,456,797,1253,274,65,281,326,571,3182,0.561,0.563,0.381,0.563,0.788,0.618
34,Kareem Abdul-Jabbar,1980,1989,LAL,NBA,158,7.6,90,5327,1370,2557,1370,2553,0,4,640,846,355,833,1188,446,140,354,404,543,3380,0.536,0.537,0,0.536,0.757,0.577
35,James Harden,2010,2018,TOT,NBA,105,7.5,62,3650,684,1629,454,923,230,706,708,812,74,474,548,577,181,47,348,319,2306,0.42,0.492,0.326,0.49,0.872,0.58
36,Draymond Green,2013,2018,GSW,NBA,97,7.4,83,3360,411,956,282,566,129,390,256,346,174,728,902,533,157,141,237,355,1207,0.43,0.498,0.331,0.497,0.74,0.545
37,Jeff Hornacek,1989,2000,TOT,NBA,140,7.1,140,4766,741,1578,619,1296,122,282,488,551,136,391,527,525,170,25,231,384,2092,0.47,0.478,0.433,0.508,0.886,0.575
38,Rasheed Wallace,1997,2010,TOT,NBA,177,6.9,154,5838,917,2065,727,1525,190,540,360,502,236,863,1099,264,145,225,228,645,2384,0.444,0.477,0.352,0.49,0.717,0.521
39,James Worthy,1984,1993,LAL,NBA,143,6.8,117,5297,1267,2329,1253,2262,14,67,474,652,257,490,747,463,177,96,298,352,3022,0.544,0.554,0.209,0.547,0.727,0.578
40,Rajon Rondo,2008,2018,TOT,NBA,105,6.6,105,3944,601,1358,564,1230,37,128,232,359,172,469,641,981,201,19,301,266,1471,0.443,0.459,0.289,0.456,0.646,0.485
Rk,Player,From,To,Tm,Lg,G,VORP,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
41,Kawhi Leonard,2012,2017,SAS,NBA,87,6.5,87,2908,523,1017,398,724,125,293,261,325,145,491,636,169,147,55,122,189,1432,0.514,0.55,0.427,0.576,0.803,0.617
42,Julius Erving,1980,1987,PHI,NBA,103,6.3,30,3800,806,1699,799,1663,7,36,504,651,250,455,705,416,161,181,323,306,2123,0.474,0.48,0.194,0.476,0.774,0.535
43,Gary Payton,1991,2007,TOT,NBA,154,5.7,129,5481,855,1938,718,1503,137,435,308,436,148,427,575,811,216,32,297,434,2155,0.441,0.478,0.315,0.477,0.706,0.506
44,Michael Cooper,1980,1990,LAL,NBA,168,5.6,4,4744,582,1244,458,928,124,316,293,355,152,422,574,703,203,96,252,474,1581,0.468,0.494,0.392,0.518,0.825,0.565
45,Tayshaun Prince,2003,2014,TOT,NBA,140,5.6,127,4977,618,1447,515,1147,103,300,263,340,227,505,732,368,109,86,181,244,1602,0.427,0.449,0.343,0.463,0.774,0.502
46,Maurice Cheeks,1980,1993,TOT,NBA,124,5.5,46,4518,706,1388,702,1347,4,41,325,410,101,317,418,859,258,41,289,295,1741,0.509,0.521,0.098,0.51,0.793,0.555
47,Derek Fisher,1997,2014,TOT,NBA,259,5.5,158,6856,735,1740,450,1025,285,715,391,486,74,504,578,598,272,16,237,645,2146,0.422,0.439,0.399,0.504,0.805,0.549
48,Andre Iguodala,2005,2018,TOT,NBA,122,5.5,66,4051,477,1060,344,682,133,378,244,409,128,480,608,486,169,46,192,239,1331,0.45,0.504,0.352,0.513,0.597,0.537
49,Patrick Ewing,1988,2002,TOT,NBA,139,5.4,135,5207,1104,2353,1096,2330,8,23,597,831,337,1098,1435,275,122,303,345,522,2813,0.469,0.47,0.348,0.471,0.718,0.517
50,Dan Majerle,1989,2001,TOT,NBA,123,5.4,53,4239,508,1222,327,709,181,513,244,324,153,456,609,304,164,52,128,285,1441,0.416,0.461,0.353,0.49,0.753,0.528
