Rk,Player,Season,Age,Tm,Lg,G,VORP,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
1,Tim Duncan,2002-03,26,SAS,NBA,24,3.5,24,1021,218,412,218,405,0,7,157,232,96,273,369,127,15,79,76,78,593,0.529,0.538,0,0.529,0.677,0.577
2,LeBron James,2011-12,27,MIA,NBA,23,3.2,23,983,251,502,229,417,22,85,173,234,54,170,224,129,43,16,81,47,697,0.5,0.549,0.259,0.522,0.739,0.576
3,LeBron James,2015-16,31,CLE,NBA,21,3.1,21,822,219,417,187,323,32,94,82,124,42,158,200,160,49,27,75,54,552,0.525,0.579,0.34,0.564,0.661,0.585
4,LeBron James,2017-18,33,CLE,NBA,18,3.1,18,743,226,417,193,321,33,96,127,175,22,144,166,158,25,19,74,41,612,0.542,0.601,0.344,0.582,0.726,0.619
5,Larry Bird,1983-84,27,BOS,NBA,23,2.9,,961,229,437,222,420,7,17,167,190,62,190,252,136,54,27,87,71,632,0.524,0.529,0.412,0.532,0.879,0.607
6,LeBron James,2012-13,28,MIA,NBA,23,2.9,23,960,212,432,176,336,36,96,136,175,37,156,193,152,41,18,70,43,596,0.491,0.524,0.375,0.532,0.777,0.585
7,Michael Jordan,1989-90,26,CHI,NBA,16,2.8,16,674,219,426,203,376,16,50,133,159,24,91,115,109,45,14,56,54,587,0.514,0.54,0.32,0.533,0.836,0.592
8,Michael Jordan,1990-91,27,CHI,NBA,17,2.8,17,689,197,376,187,350,10,26,125,148,18,90,108,142,40,23,43,53,529,0.524,0.534,0.385,0.537,0.845,0.6
9,Hakeem Olajuwon,1993-94,31,HOU,NBA,23,2.8,23,989,267,514,265,510,2,4,128,161,55,199,254,98,40,92,83,82,664,0.519,0.52,0.5,0.521,0.795,0.568
10,LeBron James,2014-15,30,CLE,NBA,20,2.7,20,844,227,544,202,434,25,110,122,167,37,189,226,169,33,21,82,58,601,0.417,0.465,0.227,0.44,0.731,0.487
11,Michael Jordan,1988-89,25,CHI,NBA,17,2.7,17,718,199,390,189,355,10,35,183,229,26,93,119,130,42,13,68,65,591,0.51,0.532,0.286,0.523,0.799,0.602
12,Michael Jordan,1991-92,28,CHI,NBA,22,2.7,22,920,290,581,273,537,17,44,162,189,37,100,137,127,44,16,81,62,759,0.499,0.508,0.386,0.514,0.857,0.571
13,Dwyane Wade,2005-06,24,MIA,NBA,23,2.6,23,959,219,441,205,404,14,37,202,250,28,107,135,132,51,26,90,71,654,0.497,0.507,0.378,0.512,0.808,0.593
14,LeBron James,2016-17,32,CLE,NBA,18,2.5,18,744,217,384,173,277,44,107,113,162,19,145,164,141,35,23,72,43,591,0.565,0.625,0.411,0.622,0.698,0.649
