,PLAYER1_ID,PLAYER1_NAME,LastName
6645,203518,Alex Abrines,Abrines
1430,203112,Quincy Acy,Acy
6593,203500,Steven Adams,Adams
2016,1628389,Bam Adebayo,Adebayo
10085,201167,Arron Afflalo,Afflalo
24454,202332,Cole Aldrich,Aldrich
4769,200746,LaMarcus Aldridge,Aldridge
178806,1628443,Kadeem Allen,Allen
3471,2754,Tony Allen,Allen
10135,1628386,Jarrett Allen,Allen
5226,202329,Al-Farouq Aminu,Aminu
4775,203937,Kyle Anderson,Anderson
482,201583,Ryan Anderson,Anderson
9020,1626147,Justin Anderson,Anderson
24455,1628387,Ike Anigbogu,Anigbogu
2897,203507,Giannis Antetokounmpo,Antetokounmpo
6594,2546,Carmelo Anthony,Anthony
6239,1628384,OG Anunoby,Anunoby
6231,1627853,Ryan Arcidiacono,Arcidiacono
491,2772,Trevor Ariza,Ariza
43515,201589,Darrell Arthur,Arthur
185145,1628503,Jamel Artis,Artis
126770,201600,Omer Asik,Asik
1983,201571,D.J. Augustin,Augustin
4090,202337,Luke Babbitt,Babbitt
950,1628407,Dwayne Bacon,Bacon
6666,1627758,Ron Baker,Baker
7090,1628366,Lonzo Ball,Ball
3926,200826,J.J. Barea,Barea
3879,203084,Harrison Barnes,Barnes
4395,203115,Will Barton,Barton
95442,201587,Nicolas Batum,Batum
2402,201573,Jerryd Bayless,Bayless
82,203382,Aron Baynes,Baynes
3887,203145,Kent Bazemore,Bazemore
2380,203078,Bradley Beal,Beal
4755,1627736,Malik Beasley,Beasley
6679,201563,Michael Beasley,Beasley
3933,201158,Marco Belinelli,Belinelli
540,1628395,Jordan Bell,Bell
3957,1627761,DeAndre' Bembry,Bembry
5334,1627733,Dragan Bender,Bender
4878,202722,Davis Bertans,Bertans
7089,201976,Patrick Beverley,Beverley
13269,203920,Khem Birch,Birch
8896,1628444,Jabari Bird,Bird
1990,202687,Bismack Biyombo,Biyombo
4883,202357,Nemanja Bjelica,Bjelica
14711,204028,Tarik Black,Black
6589,1628469,Antonio Blakeney,Blakeney
5217,202339,Eric Bledsoe,Bledsoe
76185,203505,Vander Blue,Blue
1400,202711,Bojan Bogdanovic,Bogdanovic
22241,203992,Bogdan Bogdanovic,Bogdanovic
7170,101106,Andrew Bogut,Bogut
107631,1627762,Joel Bolomboy,Bolomboy
1434,202344,Trevor Booker,Booker
5220,1626164,Devin Booker,Booker
464829,1628449,Chris Boucher,Boucher
65043,1628396,Tony Bradley,Bradley
939,202340,Avery Bradley,Bradley
7233,201147,Corey Brewer,Brewer
2961,1627763,Malcolm Brogdon,Brogdon
3451,1628415,Dillon Brooks,Brooks
24426,201166,Aaron Brooks,Brooks
510059,202705,MarShon Brooks,Brooks
15051,201628,Bobby Brown,Brown
101928,203485,Lorenzo Brown,Brown
354876,203900,Markel Brown,Brown
524802,1626148,Anthony Brown,Brown
7,1627759,Jaylen Brown,Brown
9825,1628425,Sterling Brown,Brown
8079,1627852,Nicolas Brussino,Brussino
223724,1628418,Thomas Bryant,Bryant
38880,203493,Reggie Bullock,Bullock
292322,203504,Trey Burke,Burke
4412,202692,Alec Burks,Burks
4768,202710,Jimmy Butler,Butler
235103,202779,Dwight Buycks,Buycks
12792,203998,Bruno Caboclo,Caboclo
12855,101181,Jose Calderon,Calderon
18472,203484,Kentavious Caldwell-Pope,Caldwell-Pope
26401,203477,Isaiah Canaan,Canaan
479,203991,Clint Capela,Capela
1377,201960,DeMarre Carroll,Carroll
5779,1713,Vince Carter,Carter
66152,203487,Michael Carter-Williams,Carter-Williams
7234,1627936,Alex Caruso,Caruso
567,201956,Omri Casspi,Casspi
5690,1626161,Willie Cauley-Stein,Cauley-Stein
62848,1628463,Tyler Cavanaugh,Cavanaugh
3467,201596,Mario Chalmers,Chalmers
5214,2199,Tyson Chandler,Chandler
4355,201163,Wilson Chandler,Chandler
5300,1627737,Marquese Chriss,Chriss
3462,203546,Ian Clark,Clark
7159,203903,Jordan Clarkson,Clarkson
10994,1628492,Gian Clavell,Clavell
103467,1628499,Antonius Cleveland,Cleveland
8416,1628380,Zach Collins,Collins
3922,1628381,John Collins,Collins
210115,1627858,Kyle Collinsworth,Collinsworth
1372,201954,Darren Collison,Collison
130292,2555,Nick Collison,Collison
3380,201144,Mike Conley,Conley
5240,1626192,Pat Connaughton,Connaughton
15577,1626188,Quinn Cook,Cook
36018,1628429,Charles Cooke,Cooke
108078,204022,Jack Cooley,Cooley
84943,1627856,Matt Costello,Costello
3376,202326,DeMarcus Cousins,Cousins
2388,203496,Robert Covington,Covington
1440,203459,Allen Crabbe,Crabbe
138192,1628470,Torrey Craig,Craig
3494,202348,Jordan Crawford,Crawford
4847,2037,Jamal Crawford,Crawford
13,203109,Jae Crowder,Crowder
3389,201967,Dante Cunningham,Cunningham
494,201939,Stephen Curry,Curry
5316,203584,Troy Daniels,Daniels
3373,203076,Anthony Davis,Davis
5304,202334,Ed Davis,Davis
37333,1627738,Deyonta Davis,Davis
6138,201942,DeMar DeRozan,DeRozan
3890,203473,Dewayne Dedmon,Dedmon
7498,1626155,Sam Dekker,Dekker
3952,1627098,Malcolm Delaney,Delaney
2953,203521,Matthew Dellavedova,Dellavedova
7104,2736,Luol Deng,Deng
24540,1627767,Cheick Diallo,Diallo
4827,203476,Gorgui Dieng,Dieng
1486,203915,Spencer Dinwiddie,Dinwiddie
8075,1628416,Tyler Dorsey,Dorsey
7061,1628422,Damyean Dotson,Dotson
228791,1628495,Milton Doyle,Doyle
371581,1628408,PJ Dozier,Dozier
1899,201609,Goran Dragic,Dragic
932,203083,Andre Drummond,Drummond
22366,201162,Jared Dudley,Dudley
36579,1627739,Kris Dunn,Dunn
481,201142,Kevin Durant,Durant
318897,204067,Jarell Eddie,Eddie
1032,1627740,Henry Ellenson,Ellenson
2040,201961,Wayne Ellington,Ellington
2385,203954,Joel Embiid,Embiid
7494,203898,Tyler Ennis,Ennis
534471,202379,Jeremy Evans,Evans
3456,201936,Tyreke Evans,Evans
46594,1628393,Jawun Evans,Evans
468236,203957,Dante Exum,Exum
4452,202702,Kenneth Faried,Faried
4348,202324,Derrick Favors,Favors
6324,1627770,Kay Felder,Felder
6244,1626245,Cristiano Felicio,Felicio
6716,101109,Raymond Felton,Felton
6693,1628390,Terrance Ferguson,Ferguson
3934,1627812,Yogi Ferrell,Ferrell
3988,1627827,Dorian Finney-Smith,Finney-Smith
