PLAYER,TEAM,GP,W,L,MIN,"PASSES
MADE","PASSES
RECEIVED",AST,"SECONDARY
AST","POTENTIAL
AST","AST
ADJ","AST TO
PASS%","AST TO
PASS% ADJ",Good Passes
Aaron Brooks,MIN,32,19,13,189,287,335,20,1,43,21,7,7.3,64
Aaron Gordon,ORL,58,19,39,1909,2333,1884,136,13,269,155,5.8,6.6,418
Aaron Harrison,DAL,9,2,7,233,176,190,11,0,25,11,6.3,6.3,36
Abdel Nader,BOS,47,32,15,520,408,430,26,5,61,35,6.4,8.6,92
Adreian Payne,ORL,5,0,5,43,50,33,0,0,1,0,0,0,1
Al Horford,BOS,69,44,25,2175,3377,2966,322,19,553,349,9.5,10.3,894
Al Jefferson,IND,36,17,19,484,709,561,30,5,59,36,4.2,5.1,94
Al-Farouq Aminu,POR,69,40,29,2072,1728,1319,84,16,182,108,4.9,6.3,282
Alan Williams,PHX,5,1,4,70,88,78,8,0,15,10,9.1,11.4,23
Alec Burks,UTA,64,37,27,1059,1076,1265,67,16,138,87,6.2,8.1,221
Alec Peters,PHX,20,2,18,225,237,199,12,1,16,13,5.1,5.5,29
Alex Abrines,OKC,73,42,31,1100,728,737,26,5,72,33,3.6,4.5,103
Alex Caruso,LAL,37,16,21,562,891,885,75,11,164,90,8.4,10.1,250
Alex Len,PHX,69,20,49,1395,1627,1186,82,5,177,93,5,5.7,264
Alex Poythress,IND,25,10,15,104,95,60,2,1,4,3,2.1,3.2,7
Alfonzo McKinnie,TOR,14,13,1,53,44,42,1,1,3,2,2.3,4.5,5
Allen Crabbe,BKN,73,24,49,2133,2172,2283,115,27,245,149,5.3,6.9,387
Amir Johnson,PHI,74,47,27,1170,1592,1287,118,8,199,125,7.4,7.9,325
Andre Drummond,DET,78,37,41,2625,2724,2694,237,5,434,253,8.7,9.3,676
Andre Iguodala,GSW,64,46,18,1622,2307,2057,210,34,365,253,9.1,11,609
Andre Ingram,LAL,2,1,1,64,46,53,7,0,9,7,15.2,15.2,16
Andre Roberson,OKC,37,24,13,983,709,465,44,9,72,54,6.2,7.6,125
Andrew Bogut,LAL,24,7,17,216,320,180,15,1,32,16,4.7,5,48
Andrew Harrison,MEM,56,17,39,1326,2339,2692,177,40,390,226,7.6,9.7,607
Andrew White III,ATL,15,1,14,209,149,162,6,0,15,6,4,4,21
Andrew Wiggins,MIN,82,47,35,2979,1814,2585,160,35,306,201,8.8,11.1,501
Ante Zizic,CLE,32,21,11,214,185,132,5,2,10,7,2.7,3.8,17
Anthony Brown,MIN,1,0,1,4,4,3,1,0,1,1,25,25,2
Anthony Davis,NOP,75,45,30,2727,3352,3354,174,22,298,202,5.2,6,494
Anthony Tolliver,DET,79,37,42,1757,3010,1650,90,9,180,100,3,3.3,279
Antonio Blakeney,CHI,19,3,16,314,171,306,20,0,40,20,11.7,11.7,60
Antonius Cleveland,ATL,17,7,10,123,64,75,2,0,10,2,3.1,3.1,12
Aron Baynes,BOS,78,51,27,1433,1639,1408,91,7,180,107,5.6,6.5,278
Arron Afflalo,ORL,53,16,37,682,538,563,30,3,80,33,5.6,6.1,113
Austin Rivers,LAC,61,30,31,2057,3113,3688,242,35,441,288,7.8,9.3,718
Avery Bradley,LAC,46,22,24,1433,1046,1555,94,18,172,116,9,11.1,284
Bam Adebayo,MIA,68,33,35,1348,1331,1294,99,5,228,105,7.4,7.9,332
Ben McLemore,MEM,56,7,49,1091,1061,1100,51,12,100,64,4.8,6,163
Ben Moore,IND,2,1,1,9,8,3,1,0,1,1,12.5,12.5,2
Ben Simmons,PHI,80,51,29,2703,5929,6268,658,82,1371,765,11.1,12.9,2111
Bismack Biyombo,ORL,82,25,57,1495,1961,1133,66,2,107,67,3.4,3.4,175
Blake Griffin,DET,58,28,30,1970,3522,3413,334,23,592,356,9.5,10.1,949
