,Player,Tm,AllNBACount,AllStarsCount,HOFSeasons
1,Kobe Bryant,LAL,15,18,18
2,Tim Duncan,SAS,15,15,15
3,Karl Malone,UTA,14,14,19
4,Shaquille O'Neal,TOT,14,15,19
5,LeBron James,TOT,13,14,14
7,Dirk Nowitzki,DAL,12,13,13
8,Hakeem Olajuwon,HOU,12,12,18
11,Charles Barkley,TOT,11,11,16
13,Michael Jordan,CHI,11,14,15
17,John Stockton,UTA,11,10,19
19,Larry Bird,BOS,10,12,13
21,Magic Johnson,LAL,10,11,13
22,David Robinson,SAS,10,10,14
23,Kevin Garnett,TOT,9,15,15
24,Gary Payton,SEA,9,9,17
25,Dwight Howard,TOT,8,8,
27,Chris Paul,TOT,8,9,9
28,Dwyane Wade,MIA,8,12,12
29,Kevin Durant,TOT,7,9,9
31,Patrick Ewing,NYK,7,11,17
34,Allen Iverson,PHI,7,11,14
35,Tracy McGrady,TOT,7,7,15
36,Steve Nash,TOT,7,8,18
37,Scottie Pippen,CHI,7,7,17
39,Dominique Wilkins,TOT,7,9,15
40,Carmelo Anthony,TOT,6,10,10
44,Jason Kidd,TOT,6,10,21
45,Russell Westbrook,OKC,6,7,7
47,Clyde Drexler,TOT,5,10,15
48,Tim Hardaway,TOT,5,5,
49,Grant Hill,DET,5,7,
50,Kevin Johnson,PHO,5,3,
55,Yao Ming,HOU,5,8,8
56,Sidney Moncrief,MIL,5,5,
58,Mitch Richmond,SAC,5,6,14
59,Amar'e Stoudemire,TOT,5,6,
60,Isiah Thomas,DET,5,12,13
61,Ben Wallace,DET,5,4,
62,Chris Webber,SAC,5,5,
63,LaMarcus Aldridge,TOT,4,6,
66,Stephen Curry,GSW,4,5,
68,Pau Gasol,TOT,4,6,
69,Blake Griffin,LAC,4,5,
70,James Harden,HOU,4,6,
74,Bernard King,TOT,4,4,
78,Chris Mullin,GSW,4,5,16
79,Tony Parker,SAS,4,6,
80,Paul Pierce,BOS,4,10,
81,Mark Price,CLE,4,4,
