,TEAM,GP,W,L,MIN,"PTS
OFF TO","2ND
PTS",OREB,PTS/OREB,FBPS,PITP,"OPP PTS
OFF TO","OPP
2ND PTS","OPP
FBPS","OPP
PITP"
1,Atlanta Hawks,32,9,23,1536,596,407,341,1.193548387,558,1622,716,479,495,1498
2,Boston Celtics,32,19,13,1551,618,426,340,1.252941176,497,1342,476,396,368,1430
3,Brooklyn Nets,35,16,19,1700,526,468,409,1.144254279,299,1724,626,518,348,1784
3,Charlotte Hornets,32,16,16,1551,596,416,307,1.35504886,369,1542,457,436,444,1572
3,Chicago Bulls,34,9,25,1647,538,315,256,1.23046875,381,1536,594,437,454,1584
6,Cleveland Cavaliers,34,8,26,1632,461,457,382,1.196335079,352,1454,573,425,465,1722
6,Dallas Mavericks,32,15,17,1546,550,451,334,1.350299401,446,1504,543,384,530,1506
8,Denver Nuggets,31,21,10,1498,493,473,376,1.257978723,380,1632,492,385,361,1500
8,Detroit Pistons,31,15,16,1513,503,454,377,1.204244032,325,1516,513,356,346,1558
8,Golden State Warriors,34,23,11,1642,579,411,339,1.212389381,581,1358,614,460,492,1668
8,Houston Rockets,32,17,15,1546,520,437,350,1.248571429,384,1384,541,443,347,1646
12,Indiana Pacers,34,22,12,1632,654,442,316,1.398734177,490,1636,537,384,483,1428
12,LA Clippers,33,19,14,1604,470,425,321,1.323987539,370,1682,588,494,507,1710
14,Los Angeles Lakers,33,19,14,1589,584,427,326,1.309815951,671,1836,584,451,432,1696
14,Memphis Grizzlies,33,17,16,1604,605,321,256,1.25390625,375,1528,523,374,507,1386
16,Miami Heat,32,16,16,1541,512,498,400,1.245,328,1488,589,463,387,1374
16,Milwaukee Bucks,32,22,10,1546,545,374,315,1.187301587,498,1724,471,349,307,1302
16,Minnesota Timberwolves,33,15,18,1589,569,493,361,1.36565097,454,1590,507,481,479,1510
16,New Orleans Pelicans,34,15,19,1632,548,528,393,1.34351145,460,1962,590,459,501,1744
20,New York Knicks,34,9,25,1652,520,489,394,1.241116751,355,1526,589,466,416,1784
20,Oklahoma City Thunder,32,21,11,1536,671,488,412,1.184466019,535,1694,536,384,431,1558
20,Orlando Magic,32,14,18,1541,499,406,290,1.4,319,1282,503,377,386,1440
20,Philadelphia 76ers,34,22,12,1652,576,454,352,1.289772727,514,1618,626,416,452,1670
24,Phoenix Suns,34,8,26,1657,575,372,303,1.227722772,433,1626,689,488,560,1794
25,Portland Trail Blazers,33,19,14,1594,470,466,378,1.232804233,361,1524,486,459,464,1550
26,Sacramento Kings,33,18,15,1584,691,430,339,1.268436578,737,1710,552,477,498,1746
26,San Antonio Spurs,34,18,16,1642,490,403,331,1.217522659,332,1474,532,435,443,1590
26,Toronto Raptors,35,25,10,1695,633,485,354,1.370056497,632,1804,558,466,476,1634
29,Utah Jazz,34,16,18,1632,609,430,315,1.365079365,343,1644,618,391,369,1606
29,Washington Wizards,34,13,21,1662,640,404,306,1.320261438,495,1700,618,517,526,1672
,,,,,,,13050,10273,1.270320257,,,,,,
,,,,,,,,,0.07116811048,,,,,,
