Rk,Player,Age,Tm,Lg,Season,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1,Malcolm Brogdon\brogdma01,24,MIL,NBA,2016-17,75,28,1982,14.9,.304,.198,2.8,9.6,6.3,24.3,2.2,0.5,14.1,18.5,111,111,2.6,1.5,4.1,.100,0.6,-1.1,-0.5,0.8
2,Jaylen Brown\brownja02,20,BOS,NBA,2016-17,78,20,1341,10.3,.319,.293,3.8,14.4,9.1,7.2,1.3,1.1,12.5,18.1,102,110,0.2,1.3,1.5,.053,-3.1,-0.9,-4.0,-0.7
3,Marquese Chriss\chrisma01,19,PHO,NBA,2016-17,82,75,1743,12.3,.354,.286,5.8,16.1,10.8,5.2,1.8,3.2,13.2,19.7,102,110,0.3,1.5,1.8,.050,-1.6,0.0,-1.6,0.2
4,Joel Embiid\embiijo01,22,PHI,NBA,2016-17,31,31,786,24.1,.228,.569,8.5,25.6,17.0,16.0,1.7,7.7,17.9,36.0,103,102,0.5,1.5,1.9,.117,0.0,3.2,3.1,1.0
5,Yogi Ferrell\ferreyo01,23,TOT,NBA,2016-17,46,29,1197,13.1,.447,.226,1.8,9.2,5.3,23.2,1.8,0.7,13.9,19.6,106,111,0.8,1.0,1.8,.072,-0.1,-0.6,-0.7,0.4
6,Willy Hernangomez\hernawi01,22,NYK,NBA,2016-17,72,22,1324,19.0,.032,.269,13.8,27.1,20.4,11.5,1.5,2.2,16.1,20.3,111,107,1.8,1.6,3.4,.123,-0.6,0.6,0.0,0.7
7,Buddy Hield\hieldbu01,23,TOT,NBA,2016-17,82,55,1888,11.8,.494,.099,2.0,13.5,7.8,10.3,1.0,0.4,11.2,21.3,100,112,0.0,1.3,1.3,.032,-0.9,-1.9,-2.7,-0.4
8,Brandon Ingram\ingrabr01,19,LAL,NBA,2016-17,79,40,2279,8.5,.273,.312,2.8,12.7,7.6,10.5,1.1,1.3,12.9,16.8,96,115,-1.0,0.7,-0.3,-.007,-3.1,-0.7,-3.8,-1.1
9,Jamal Murray\murraja01,19,DEN,NBA,2016-17,82,10,1764,11.9,.471,.164,2.6,10.7,6.7,14.0,1.4,1.1,12.6,21.6,103,114,0.6,0.7,1.3,.037,-0.5,-2.1,-2.6,-0.3
10,Dario Saric\saricda01,22,PHI,NBA,2016-17,81,36,2129,12.8,.368,.237,5.8,20.8,13.3,14.3,1.3,1.1,15.2,24.6,96,109,-1.2,2.2,1.0,.023,-2.0,-0.2,-2.2,-0.1
11,Devin Booker\bookede01,19,PHO,NBA,2015-16,76,51,2108,11.9,.333,.295,1.4,8.4,4.8,15.8,1.0,0.8,14.0,23.0,102,112,1.2,0.7,1.9,.043,-0.6,-2.4,-3.1,-0.6
12,Willie Cauley-Stein\caulewi01,22,SAC,NBA,2015-16,66,39,1412,15.3,.006,.369,10.3,16.6,13.5,3.8,1.6,3.8,10.5,13.2,119,107,2.4,1.4,3.8,.130,-0.8,1.5,0.7,1.0
13,Nikola Jokic\jokicni01,20,DEN,NBA,2015-16,80,55,1733,21.5,.140,.317,11.4,24.7,17.9,18.1,2.3,2.3,13.2,19.9,118,104,4.5,2.2,6.7,.185,2.6,2.2,4.8,3.0
14,Emmanuel Mudiay\mudiaem01,19,DEN,NBA,2015-16,68,66,2068,9.9,.256,.231,1.7,10.9,6.2,29.0,1.6,1.4,17.9,25.7,88,110,-3.3,1.2,-2.1,-.049,-3.1,-1.2,-4.3,-1.2
15,Jahlil Okafor\okafoja01,20,PHI,NBA,2015-16,53,48,1591,17.1,.008,.248,8.1,17.8,12.8,8.2,0.7,2.9,12.5,27.3,99,110,0.3,0.9,1.2,.037,-2.6,-1.5,-4.1,-0.8
16,Kristaps Porzingis\porzikr01,20,NYK,NBA,2015-16,72,72,2047,17.7,.274,.271,7.1,20.7,14.0,7.9,1.3,5.0,10.9,24.6,103,103,1.5,2.9,4.4,.102,-0.8,0.9,0.1,1.1
17,D'Angelo Russell\russeda01,19,LAL,NBA,2015-16,80,48,2259,13.2,.387,.199,2.2,11.2,6.5,21.2,2.1,0.5,15.9,24.1,96,112,-0.7,0.7,0.0,.001,-0.2,-1.7,-1.8,0.1
18,Karl-Anthony Towns\townska01,20,MIN,NBA,2015-16,82,82,2627,22.5,.076,.239,10.3,27.5,19.0,11.3,1.1,4.3,12.6,24.9,112,106,5.5,2.8,8.3,.151,1.6,1.2,2.8,3.1
19,Myles Turner\turnemy01,19,IND,NBA,2015-16,60,30,1367,15.4,.026,.228,5.5,21.0,13.3,5.0,0.9,5.1,10.3,20.9,103,101,0.8,2.3,3.1,.109,-3.7,1.4,-2.3,-0.1
20,Justise Winslow\winslju01,19,MIA,NBA,2015-16,78,8,2232,8.4,.251,.253,4.2,15.8,10.2,7.4,1.6,0.9,15.6,12.5,97,105,-0.2,2.7,2.5,.054,-2.2,1.6,-0.6,0.8
21,Bojan Bogdanovic\bogdabo02,25,BRK,NBA,2014-15,78,28,1854,11.6,.444,.184,3.0,9.8,6.4,5.8,0.9,0.4,11.1,17.2,106,111,1.7,0.7,2.4,.062,0.0,-1.9,-1.8,0.1
22,Jordan Clarkson\clarkjo01,22,LAL,NBA,2014-15,59,38,1476,16.9,.203,.265,4.0,10.5,7.1,23.8,1.8,0.7,12.6,23.0,107,112,2.0,0.4,2.4,.078,1.4,-1.7,-0.3,0.6
