Rk,Player,Age,Tm,Lg,Season,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
1,Malcolm Brogdon\brogdma01,24,MIL,NBA,2016-17,75,28,1982,5.3,11.5,3.9,8.0,1.4,3.5,2.0,2.3,0.9,3.0,3.9,5.8,1.5,0.2,2.1,2.5,13.9,.457,.480,.404,.518,.865,.555
2,Jaylen Brown\brownja02,20,BOS,NBA,2016-17,78,20,1341,5.2,11.4,3.9,7.7,1.2,3.6,2.3,3.3,1.2,4.7,5.9,1.7,0.9,0.5,1.8,3.8,13.8,.454,.507,.341,.508,.685,.539
3,Marquese Chriss\chrisma01,19,PHO,NBA,2016-17,82,75,1743,5.9,13.1,4.4,8.4,1.5,4.6,2.3,3.7,2.0,5.2,7.2,1.2,1.4,1.4,2.2,5.4,15.6,.449,.520,.321,.506,.624,.529
4,Joel Embiid\embiijo01,22,PHI,NBA,2016-17,31,31,786,9.2,19.6,7.5,15.2,1.6,4.5,8.7,11.2,2.8,8.3,11.1,3.0,1.2,3.5,5.4,5.1,28.7,.466,.495,.367,.508,.783,.584
5,Yogi Ferrell\ferreyo01,23,TOT,NBA,2016-17,46,29,1197,4.8,11.8,2.8,6.6,2.0,5.3,2.2,2.7,0.6,2.7,3.3,5.2,1.3,0.3,2.1,2.7,13.9,.406,.422,.386,.492,.831,.533
6,Willy Hernangomez\hernawi01,22,NYK,NBA,2016-17,72,22,1324,6.7,12.6,6.6,12.2,0.1,0.4,2.5,3.4,4.6,9.0,13.6,2.6,1.1,1.0,2.7,4.1,16.0,.529,.538,.267,.533,.728,.564
7,Buddy Hield\hieldbu01,23,TOT,NBA,2016-17,82,55,1888,6.2,14.6,3.4,7.4,2.8,7.2,1.2,1.4,0.7,4.5,5.1,2.3,0.7,0.2,1.9,2.2,16.5,.426,.461,.391,.523,.842,.541
8,Brandon Ingram\ingrabr01,19,LAL,NBA,2016-17,79,40,2279,4.4,10.8,3.5,7.9,0.9,3.0,2.1,3.4,0.9,4.0,5.0,2.6,0.8,0.6,1.8,2.5,11.7,.402,.443,.294,.442,.621,.474
9,Jamal Murray\murraja01,19,DEN,NBA,2016-17,82,10,1764,6.0,14.9,3.7,7.9,2.3,7.0,2.2,2.4,0.8,3.5,4.4,3.5,1.0,0.5,2.3,2.5,16.6,.404,.466,.334,.483,.883,.518
10,Dario Saric\saricda01,22,PHI,NBA,2016-17,81,36,2129,6.4,15.7,4.7,9.9,1.8,5.8,2.9,3.7,1.9,6.8,8.7,3.1,1.0,0.5,3.1,2.7,17.6,.411,.469,.311,.468,.782,.508
11,Devin Booker\bookede01,19,PHO,NBA,2015-16,76,51,2108,6.3,14.8,4.6,9.9,1.7,4.9,3.7,4.4,0.5,2.7,3.2,3.4,0.8,0.3,2.7,3.8,17.9,.423,.464,.343,.480,.840,.535
12,Willie Cauley-Stein\caulewi01,22,SAC,NBA,2015-16,66,39,1412,4.9,8.6,4.9,8.6,0.0,0.1,2.1,3.2,3.4,5.6,9.0,0.9,1.2,1.7,1.2,3.7,11.8,.563,.567,.000,.563,.648,.588
13,Nikola Jokic\jokicni01,20,DEN,NBA,2015-16,80,55,1733,6.4,12.5,5.8,10.7,0.6,1.7,3.2,3.9,3.8,7.9,11.6,3.9,1.6,1.0,2.2,4.3,16.5,.512,.541,.333,.535,.811,.582
14,Emmanuel Mudiay\mudiaem01,19,DEN,NBA,2015-16,68,66,2068,5.7,15.8,4.4,11.7,1.3,4.0,2.4,3.6,0.6,3.5,4.0,6.5,1.1,0.6,3.8,2.5,15.2,.364,.379,.319,.404,.670,.437
15,Jahlil Okafor\okafoja01,20,PHI,NBA,2015-16,53,48,1591,9.0,17.7,9.0,17.5,0.0,0.1,3.0,4.4,2.8,5.7,8.4,1.5,0.5,1.4,2.8,3.2,21.0,.508,.511,.167,.509,.686,.536
16,Kristaps Porzingis\porzikr01,20,NYK,NBA,2015-16,72,72,2047,6.6,15.6,5.1,11.3,1.4,4.3,3.5,4.2,2.3,6.9,9.3,1.7,0.9,2.4,2.1,3.6,18.1,.421,.454,.333,.467,.838,.518
17,D'Angelo Russell\russeda01,19,LAL,NBA,2015-16,80,48,2259,6.2,15.2,4.2,9.3,2.1,5.9,2.2,3.0,0.7,3.6,4.4,4.2,1.5,0.2,3.1,2.3,16.8,.410,.447,.351,.478,.737,.507
18,Karl-Anthony Towns\townska01,20,MIN,NBA,2015-16,82,82,2627,8.6,15.8,8.2,14.6,0.4,1.2,3.1,3.8,3.1,8.6,11.8,2.2,0.8,1.9,2.5,3.4,20.6,.542,.559,.341,.555,.811,.590
19,Myles Turner\turnemy01,19,IND,NBA,2015-16,60,30,1367,7.0,14.0,6.9,13.6,0.1,0.4,2.3,3.2,1.8,7.0,8.7,1.1,0.7,2.3,1.8,4.2,16.3,.498,.506,.214,.501,.727,.531
20,Justise Winslow\winslju01,19,MIA,NBA,2015-16,78,8,2232,3.1,7.5,2.6,5.6,0.5,1.9,1.3,1.9,1.3,5.2,6.5,1.9,1.1,0.4,1.5,3.0,8.1,.422,.471,.276,.457,.684,.489
21,Bojan Bogdanovic\bogdabo02,25,BRK,NBA,2014-15,78,28,1854,5.1,11.2,3.3,6.2,1.8,5.0,1.7,2.1,1.0,3.2,4.1,1.3,0.7,0.2,1.5,2.0,13.6,.453,.531,.355,.532,.821,.562
22,Jordan Clarkson\clarkjo01,22,LAL,NBA,2014-15,59,38,1476,6.5,14.5,5.6,11.6,0.9,3.0,3.2,3.9,1.4,3.3,4.7,5.0,1.2,0.3,2.3,2.7,17.1,.448,.482,.314,.480,.829,.528
23,Langston Galloway\gallola01,23,NYK,NBA,2014-15,45,41,1457,5.0,12.6,3.5,8.3,1.5,4.3,1.6,1.9,0.9,3.8,4.7,3.7,1.3,0.3,1.5,3.2,13.2,.399,.424,.352,.460,.808,.489
24,Zach LaVine\lavinza01,19,MIN,NBA,2014-15,77,40,1902,5.4,12.8,4.3,9.7,1.1,3.2,2.8,3.4,0.5,3.5,4.1,5.2,1.0,0.2,3.7,3.0,14.7,.422,.449,.341,.465,.842,.515
25,Nikola Mirotic\mirotni01,23,CHI,NBA,2014-15,82,3,1654,5.5,13.6,3.4,6.8,2.2,6.8,5.0,6.2,1.4,7.4,8.8,2.1,1.2,1.2,1.9,3.7,18.1,.405,.495,.316,.485,.803,.556
