,Player,Age,Tm,Lg,Season,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
0,James Bailey,22.0,SEA,NBA,1979-80,67.0,,726.0,12.3,0.0,0.373,10.2,18.3,14.3,5.3,1.4,4.1,20.0,21.4,93.0,98.0,-0.4,1.4,1.0,0.063,-4.5,0.9,-3.5,-0.3
1,Billy Ray Bates,23.0,POR,NBA,1979-80,16.0,,235.0,24.1,0.13,0.267,6.0,7.6,6.8,23.8,2.9,0.5,10.9,32.0,112.0,104.0,0.7,0.3,0.9,0.188,5.4,-2.1,3.3,0.3
2,Larry Bird,23.0,BOS,NBA,1979-80,82.0,82.0,2955.0,20.5,0.098,0.24600000000000002,8.3,23.6,16.0,18.5,2.3,1.0,14.0,25.3,109.0,98.0,5.6,5.6,11.2,0.182,2.7,2.6,5.3,5.4
3,Lawrence Boston,23.0,WSB,NBA,1979-80,13.0,,125.0,12.6,0.0,0.25,15.1,16.2,15.7,2.3,1.5,0.8,12.2,20.7,100.0,105.0,0.1,0.1,0.2,0.075,-2.3,-2.4,-4.7,-0.1
4,Dudley Bradley,22.0,IND,NBA,1979-80,82.0,,2027.0,13.5,0.008,0.28600000000000003,3.4,8.1,5.7,15.9,4.8,1.3,19.5,16.3,98.0,102.0,0.2,2.9,3.1,0.073,-1.5,2.2,0.7,1.4
5,Bill Cartwright,22.0,NYK,NBA,1979-80,82.0,,3150.0,17.9,0.0,0.466,6.6,18.6,12.6,7.0,0.7,1.7,13.2,20.6,117.0,108.0,7.7,2.1,9.7,0.14800000000000002,1.5,-0.9,0.6,2.1
6,Jeff Cook,23.0,PHO,NBA,1979-80,66.0,,904.0,14.4,0.011000000000000001,0.469,11.2,18.0,14.6,12.2,1.4,1.1,17.6,17.7,108.0,102.0,1.1,1.3,2.4,0.126,-0.8,0.6,-0.2,0.4
7,Hollis Copeland,24.0,NYK,NBA,1979-80,75.0,,1142.0,11.0,0.005,0.23399999999999999,6.6,8.3,7.4,8.7,2.4,1.2,17.1,16.5,101.0,108.0,0.5,0.8,1.2,0.052000000000000005,-1.7,-0.4,-2.1,0.0
8,John Coughran,28.0,GSW,NBA,1979-80,24.0,,160.0,6.0,0.111,0.17300000000000001,1.3,12.1,6.5,10.6,2.1,0.4,13.0,25.8,79.0,107.0,-0.4,0.1,-0.3,-0.086,-6.5,-2.6,-9.1,-0.3
9,Terry Crosby,23.0,KCK,NBA,1979-80,4.0,,28.0,3.5,0.0,0.5,0.0,4.0,1.9,30.0,0.0,0.0,50.6,14.1,81.0,109.0,0.0,0.0,0.0,-0.051,-8.3,-4.9,-13.3,-0.1
